SampleID Latitude Longitude Group note
RP291 39.015050 -107.035200 COL Included_in_data_analyses
RP294 39.012920 -106.946350 COL Included_in_data_analyses
RP295 38.998120 -106.981200 COL Included_in_data_analyses
RP296 38.969920 -107.026730 COL Included_in_data_analyses
RP301 38.870260 -106.951970 COL Included_in_data_analyses
RP306 38.866420 -106.912770 COL Included_in_data_analyses
RP308 38.878800 -106.999120 COL Included_in_data_analyses
RP482 39.641290 -105.870730 COL Included_in_data_analyses
RP483 40.198160 -105.541250 COL Included_in_data_analyses
RP484 39.692450 -105.795840 COL Included_in_data_analyses
RP485 40.257200 -105.533550 COL Included_in_data_analyses
RP486 39.353760 -106.217130 COL Included_in_data_analyses
RP488 39.411700 -106.174610 COL Included_in_data_analyses
RP489 39.457880 -106.144690 COL Included_in_data_analyses
RP490 38.767340 -106.319620 COL Included_in_data_analyses
RP491 40.101220 -105.486010 COL Included_in_data_analyses
RP492 38.813730 -106.396570 COL Included_in_data_analyses
RP494 39.762820 -105.729630 COL Included_in_data_analyses
RP495 39.198920 -106.260550 COL Included_in_data_analyses
RP496 39.200070 -106.079460 COL Included_in_data_analyses
RP497 39.237320 -106.293110 COL Included_in_data_analyses
RP498 39.890790 -105.486350 COL Included_in_data_analyses
RP499 39.817150 -105.536340 COL Included_in_data_analyses
RP500 39.612320 -105.716610 COL Included_in_data_analyses
RP501 39.770820 -105.817910 COL Included_in_data_analyses
RP502 39.449810 -105.775020 COL Included_in_data_analyses
RP503 39.067620 -106.505270 COL Included_in_data_analyses
RP505 39.668870 -105.882540 COL Included_in_data_analyses
RP506 39.663650 -105.878380 COL Included_in_data_analyses
RP507 39.660070 -105.871960 COL Included_in_data_analyses
RP508 39.686850 -105.881510 COL Included_in_data_analyses
RP510 39.896050 -105.602040 COL Included_in_data_analyses
RP512 39.866900 -105.595120 COL Included_in_data_analyses
RP513 39.852180 -105.571110 COL Included_in_data_analyses
RP514 39.441450 -106.157630 COL Included_in_data_analyses
RP515 39.604770 -105.909850 COL Included_in_data_analyses
RP516 40.034590 -105.539950 COL Included_in_data_analyses
RP522 39.401970 -106.051390 COL Included_in_data_analyses
RP524 39.908250 -105.556470 COL Included_in_data_analyses
RP525 39.566590 -105.724130 COL Included_in_data_analyses
RP527 40.131330 -105.505080 COL Included_in_data_analyses
RP528 39.362640 -106.311170 COL Included_in_data_analyses
RP530 39.528680 -106.220160 COL Included_in_data_analyses
RP532 39.090530 -106.145690 COL Included_in_data_analyses
RP533 39.471850 -106.043040 COL Included_in_data_analyses
RP537 37.424100 -108.379220 COL Included_in_data_analyses
RP538 37.361130 -108.252630 COL Included_in_data_analyses
RP558 39.835100 -105.411980 COL Included_in_data_analyses
RP559 39.835100 -105.411980 COL Included_in_data_analyses
RP560 39.835100 -105.411980 COL Included_in_data_analyses
RP561 39.835100 -105.411980 COL Included_in_data_analyses
RP562 39.835100 -105.411980 COL Included_in_data_analyses
RP563 39.835100 -105.411980 COL Included_in_data_analyses
RP564 39.835100 -105.411980 COL Included_in_data_analyses
RP565 39.835100 -105.411980 COL Included_in_data_analyses
RP566 39.796340 -105.775810 COL Included_in_data_analyses
RP567 39.796340 -105.775810 COL Included_in_data_analyses
RP568 39.796340 -105.775810 COL Included_in_data_analyses
RP569 39.796340 -105.775810 COL Included_in_data_analyses
RP581 38.361133 -108.252633 COL Included_in_data_analyses
RP591 38.440633 -107.642283 COL Included_in_data_analyses
RP592 37.648167 -106.651917 COL Included_in_data_analyses
RP593 37.646750 -106.588833 COL Included_in_data_analyses
RP595 37.579183 -108.157050 COL Included_in_data_analyses
RP596 37.369417 -108.078667 COL Included_in_data_analyses
RP598 37.600883 -105.212100 COL Included_in_data_analyses
RP600 37.381033 -108.077367 COL Included_in_data_analyses
RP601 37.780067 -106.818183 COL Included_in_data_analyses
RP602 37.796117 -106.801650 COL Included_in_data_analyses
RP603 37.754867 -108.007050 COL Included_in_data_analyses
RP604 37.616283 -106.675783 COL Included_in_data_analyses
RP605 38.332333 -108.107483 COL Included_in_data_analyses
RP606 38.319467 -108.140000 COL Included_in_data_analyses
RP607 38.486833 -108.573067 COL Included_in_data_analyses
RP608 38.521100 -108.603317 COL Included_in_data_analyses
RP609 38.596617 -108.655700 COL Included_in_data_analyses
RP610 38.655950 -108.699867 COL Included_in_data_analyses
RP611 37.485433 -106.768533 COL Included_in_data_analyses
RP622 39.950023 -105.504519 COL Included_in_data_analyses
RP623 38.702642 -106.349831 COL Included_in_data_analyses
RP624 40.017370 -105.532090 COL Included_in_data_analyses
RP625 38.987883 -106.429597 COL Included_in_data_analyses
RP626 38.422137 -106.132842 COL Included_in_data_analyses
RP627 39.274043 -106.309739 COL Included_in_data_analyses
RP629 39.327870 -106.059082 COL Included_in_data_analyses
RP630 39.888743 -105.609193 COL Included_in_data_analyses
RP631 39.904039 -105.497315 COL Included_in_data_analyses
RP632 39.588520 -106.044552 COL Included_in_data_analyses
RP633 39.626107 -105.708153 COL Included_in_data_analyses
RP643 38.285100 -107.367000 COL Included_in_data_analyses
RP650 39.012517 -108.234950 COL Included_in_data_analyses
RP651 39.025367 -108.223650 COL Included_in_data_analyses
RP652 39.036417 -108.187733 COL Included_in_data_analyses
RP653 39.006050 -108.199717 COL Included_in_data_analyses
RP654 39.004067 -108.145583 COL Included_in_data_analyses
RP655 39.004283 -108.110100 COL Included_in_data_analyses
RP656 39.025817 -108.073600 COL Included_in_data_analyses
RP657 39.059633 -108.054067 COL Included_in_data_analyses
RP658 39.049967 -108.081033 COL Included_in_data_analyses
RP659 39.046100 -108.068117 COL Included_in_data_analyses
RP660 39.028133 -108.032517 COL Included_in_data_analyses
RP661 39.030250 -107.996333 COL Included_in_data_analyses
RP662 39.003550 -107.940917 COL Included_in_data_analyses
HZ015 44.970670 -114.085850 NOR Included_in_data_analyses
HZ024 44.964830 -114.074620 NOR Included_in_data_analyses
HZ037 44.962670 -114.069700 NOR Included_in_data_analyses
HZ057 44.581880 -114.416730 NOR Included_in_data_analyses
HZ062 44.581880 -114.416730 NOR Included_in_data_analyses
HZ068 44.397000 -114.391170 NOR Included_in_data_analyses
HZ104 44.457280 -114.752880 NOR Included_in_data_analyses
HZ110 44.457280 -114.752880 NOR Included_in_data_analyses
HZ117 44.475000 -114.730700 NOR Included_in_data_analyses
HZ121 44.475000 -114.730700 NOR Included_in_data_analyses
HZ140 44.494000 -114.734000 NOR Included_in_data_analyses
HZ143 44.494000 -114.734000 NOR Included_in_data_analyses
HZ156 44.503000 -114.753200 NOR Included_in_data_analyses
HZ160 44.457280 -114.752880 NOR Included_in_data_analyses
HZ170 44.581880 -114.416730 NOR Included_in_data_analyses
HZ300 44.792383 -113.776183 NOR Included_in_data_analyses
HZ334 44.797467 -113.803217 NOR Included_in_data_analyses
HZ337 44.792600 -113.778883 NOR Included_in_data_analyses
HZ349 45.083733 -114.089667 NOR Included_in_data_analyses
HZ374 44.861967 -114.295217 NOR Included_in_data_analyses
HZ444 44.747100 -114.260550 NOR Included_in_data_analyses
RP003 44.620000 -114.514100 NOR Included_in_data_analyses
RP010 44.622000 -114.496800 NOR Included_in_data_analyses
RP014 41.844000 -115.447300 NOR Included_in_data_analyses
RP016 43.792000 -114.573700 NOR Included_in_data_analyses
RP024 44.355000 -113.262300 NOR Included_in_data_analyses
RP035 44.615620 -114.518430 NOR Included_in_data_analyses
RP048 44.616000 -114.518400 NOR Included_in_data_analyses
RP049 44.941000 -113.847400 NOR Included_in_data_analyses
RP054 44.591600 -114.453300 NOR Included_in_data_analyses
RP059 44.346000 -113.265000 NOR Included_in_data_analyses
RP061 44.411200 -113.417500 NOR Included_in_data_analyses
RP064 44.674000 -114.558200 NOR Included_in_data_analyses
RP069 44.948000 -114.074100 NOR Included_in_data_analyses
RP078 44.967000 -114.085300 NOR Included_in_data_analyses
RP079 44.494000 -114.734000 NOR Included_in_data_analyses
RP080 44.966300 -114.085400 NOR Included_in_data_analyses
RP082 44.364000 -113.234000 NOR Included_in_data_analyses
RP087 44.182600 -113.742900 NOR Included_in_data_analyses
RP088 42.139000 -114.208500 NOR Included_in_data_analyses
RP091 42.163000 -114.263800 NOR Included_in_data_analyses
RP094 44.754000 -114.679400 NOR Included_in_data_analyses
RP099 42.144000 -114.242800 NOR Included_in_data_analyses
RP101 44.027000 -113.453000 NOR Included_in_data_analyses
RP103 44.606900 -114.533900 NOR Included_in_data_analyses
RP104 44.426000 -112.894500 NOR Included_in_data_analyses
RP107 44.660000 -114.542400 NOR Included_in_data_analyses
RP108 44.142000 -113.722200 NOR Included_in_data_analyses
RP116 44.642000 -114.529000 NOR Included_in_data_analyses
RP117 44.962000 -114.073300 NOR Included_in_data_analyses
RP118 44.974300 -114.085000 NOR Included_in_data_analyses
RP121 44.374500 -113.388300 NOR Included_in_data_analyses
RP127 43.804000 -114.643100 NOR Included_in_data_analyses
RP132 44.643500 -114.541600 NOR Included_in_data_analyses
RP135 45.551000 -113.774200 NOR Included_in_data_analyses
RP138 44.963000 -114.655800 NOR Included_in_data_analyses
RP140 42.322000 -113.619400 NOR Included_in_data_analyses
RP141 44.551000 -112.616800 NOR Included_in_data_analyses
RP159 44.492000 -115.007000 NOR Included_in_data_analyses
RP160 44.390400 -113.418300 NOR Included_in_data_analyses
RP162 43.875000 -114.714900 NOR Included_in_data_analyses
RP166 44.410000 -114.407700 NOR Included_in_data_analyses
RP169 44.457000 -114.752900 NOR Included_in_data_analyses
RP173 41.801000 -115.479000 NOR Included_in_data_analyses
RP179 44.791000 -113.312600 NOR Included_in_data_analyses
RP184 43.839000 -114.294700 NOR Included_in_data_analyses
RP185 43.931000 -114.852800 NOR Included_in_data_analyses
RP187 41.746000 -115.467600 NOR Included_in_data_analyses
RP197 44.348000 -113.476100 NOR Included_in_data_analyses
RP203 44.729000 -114.332300 NOR Included_in_data_analyses
RP204 44.970600 -114.086300 NOR Included_in_data_analyses
RP206 44.231600 -113.838100 NOR Included_in_data_analyses
RP213 44.536000 -112.618000 NOR Included_in_data_analyses
RP216 44.718000 -114.621900 NOR Included_in_data_analyses
RP235 44.376300 -113.412700 NOR Included_in_data_analyses
RP237 44.971100 -114.170900 NOR Included_in_data_analyses
RP239 44.964300 -114.193100 NOR Included_in_data_analyses
RP240 44.737600 -114.297700 NOR Included_in_data_analyses
RP241 44.683500 -114.342500 NOR Included_in_data_analyses
RP242 44.692800 -114.335300 NOR Included_in_data_analyses
RP248 44.773400 -114.248800 NOR Included_in_data_analyses
RP251 44.741400 -114.264100 NOR Included_in_data_analyses
RP256 44.727000 -114.637400 NOR Included_in_data_analyses
RP258 44.622500 -114.513700 NOR Included_in_data_analyses
RP259 44.621100 -114.507900 NOR Included_in_data_analyses
RP260 44.354700 -113.328800 NOR Included_in_data_analyses
RP264 44.589700 -114.448000 NOR Included_in_data_analyses
RP266 44.305100 -113.312800 NOR Included_in_data_analyses
RP311 44.187667 -113.753333 NOR Included_in_data_analyses
RP312 44.189550 -113.743433 NOR Included_in_data_analyses
RP313 44.188417 -113.746650 NOR Included_in_data_analyses
RP314 44.183780 -113.726620 NOR Included_in_data_analyses
RP316 44.194650 -113.741267 NOR Included_in_data_analyses
RP317 44.181767 -113.751750 NOR Included_in_data_analyses
RP319 44.176480 -113.771370 NOR Included_in_data_analyses
RP320 44.172700 -113.770180 NOR Included_in_data_analyses
RP321 44.197200 -113.756800 NOR Included_in_data_analyses
RP322 44.185167 -113.766000 NOR Included_in_data_analyses
RP323 44.179833 -113.775167 NOR Included_in_data_analyses
RP476 44.252400 -113.120780 NOR Included_in_data_analyses
RP477 44.589150 -113.456170 NOR Included_in_data_analyses
RP616 44.402830 -114.383170 NOR Included_in_data_analyses
RP617 44.193400 -113.736220 NOR Included_in_data_analyses
RP621 44.576540 -113.470870 NOR Included_in_data_analyses
RP644 43.812000 -114.619900 NOR Included_in_data_analyses
RP008 40.435000 -111.616000 UTA Included_in_data_analyses
RP012 40.684000 -110.931800 UTA Included_in_data_analyses
RP075 40.736000 -110.867600 UTA Included_in_data_analyses
RP093 38.793000 -116.859200 UTA Included_in_data_analyses
RP095 42.596000 -110.508300 UTA Included_in_data_analyses
RP143 42.485000 -110.545000 UTA Included_in_data_analyses
RP145 40.612000 -115.370900 UTA Included_in_data_analyses
RP165 36.406000 -112.091700 UTA Included_in_data_analyses
RP181 37.612000 -112.830300 UTA Included_in_data_analyses
RP190 41.922000 -111.478300 UTA Included_in_data_analyses
RP196 40.823000 -110.863400 UTA Included_in_data_analyses
RP207 37.516000 -112.704200 UTA Included_in_data_analyses
RP214 38.966000 -111.572200 UTA Included_in_data_analyses
RP219 38.965000 -112.098800 UTA Included_in_data_analyses
RP236 39.765000 -110.916300 UTA Included_in_data_analyses
RP280 43.542410 -109.837000 UTA Included_in_data_analyses
RP324 38.211250 -112.425870 UTA Included_in_data_analyses
RP325 37.879000 -111.870430 UTA Included_in_data_analyses
RP326 38.004970 -111.712600 UTA Included_in_data_analyses
RP327 39.883470 -110.775620 UTA Included_in_data_analyses
RP328 39.879030 -110.799700 UTA Included_in_data_analyses
RP329 39.880280 -110.760320 UTA Included_in_data_analyses
RP330 39.872700 -110.817670 UTA Included_in_data_analyses
RP331 40.313620 -111.280250 UTA Included_in_data_analyses
RP332 38.652450 -111.946350 UTA Included_in_data_analyses
RP333 38.096530 -111.692250 UTA Included_in_data_analyses
RP335 38.475130 -111.460830 UTA Included_in_data_analyses
RP337 37.945220 -112.201850 UTA Included_in_data_analyses
RP338 40.218930 -111.250430 UTA Included_in_data_analyses
RP339 37.984750 -112.223980 UTA Included_in_data_analyses
RP340 38.630220 -111.979830 UTA Included_in_data_analyses
RP342 37.944030 -111.699530 UTA Included_in_data_analyses
RP344 37.980120 -111.724720 UTA Included_in_data_analyses
RP345 38.070080 -112.141700 UTA Included_in_data_analyses
RP346 39.084830 -111.339730 UTA Included_in_data_analyses
RP347 39.080580 -111.318780 UTA Included_in_data_analyses
RP348 38.509300 -111.496680 UTA Included_in_data_analyses
RP349 38.814330 -111.667250 UTA Included_in_data_analyses
RP350 38.806530 -111.689930 UTA Included_in_data_analyses
RP352 37.928720 -111.866180 UTA Included_in_data_analyses
RP353 37.830530 -111.882770 UTA Included_in_data_analyses
RP354 40.537820 -110.355750 UTA Included_in_data_analyses
RP355 38.448200 -111.449330 UTA Included_in_data_analyses
RP356 38.626880 -111.647320 UTA Included_in_data_analyses
RP357 38.675020 -111.943020 UTA Included_in_data_analyses
RP358 37.959850 -111.838320 UTA Included_in_data_analyses
RP359 38.059770 -111.591300 UTA Included_in_data_analyses
RP360 38.532480 -111.952630 UTA Included_in_data_analyses
RP361 38.562730 -111.967580 UTA Included_in_data_analyses
RP362 38.550420 -111.971520 UTA Included_in_data_analyses
RP363 38.577000 -111.945950 UTA Included_in_data_analyses
RP364 38.591430 -111.939600 UTA Included_in_data_analyses
RP365 38.662600 -112.275270 UTA Included_in_data_analyses
RP366 40.294120 -111.251300 UTA Included_in_data_analyses
RP367 38.496280 -111.458130 UTA Included_in_data_analyses
RP368 40.564980 -110.504520 UTA Included_in_data_analyses
RP369 40.554980 -110.488730 UTA Included_in_data_analyses
RP370 40.533780 -110.464380 UTA Included_in_data_analyses
RP372 38.752680 -111.651880 UTA Included_in_data_analyses
RP373 38.723950 -111.678070 UTA Included_in_data_analyses
RP374 39.812600 -111.694570 UTA Included_in_data_analyses
RP375 39.834480 -111.722150 UTA Included_in_data_analyses
RP376 39.842420 -111.721770 UTA Included_in_data_analyses
RP377 39.879080 -111.685620 UTA Included_in_data_analyses
RP378 39.919080 -111.633620 UTA Included_in_data_analyses
RP379 40.028280 -111.258330 UTA Included_in_data_analyses
RP380 38.696380 -111.937900 UTA Included_in_data_analyses
RP381 39.314100 -111.366730 UTA Included_in_data_analyses
RP382 38.679600 -112.285850 UTA Included_in_data_analyses
RP383 38.220570 -112.414350 UTA Included_in_data_analyses
RP384 38.066270 -111.633380 UTA Included_in_data_analyses
RP386 39.332150 -111.433100 UTA Included_in_data_analyses
RP387 39.319970 -111.410320 UTA Included_in_data_analyses
RP388 39.385000 -111.387550 UTA Included_in_data_analyses
RP389 39.305380 -111.389820 UTA Included_in_data_analyses
RP390 39.319180 -111.473830 UTA Included_in_data_analyses
RP391 39.906880 -111.241650 UTA Included_in_data_analyses
RP392 39.883330 -111.263830 UTA Included_in_data_analyses
RP393 39.864450 -111.286530 UTA Included_in_data_analyses
RP396 39.748900 -111.323550 UTA Included_in_data_analyses
RP398 39.986580 -111.153970 UTA Included_in_data_analyses
RP399 40.036370 -111.200200 UTA Included_in_data_analyses
RP400 40.585650 -110.330550 UTA Included_in_data_analyses
RP401 40.224070 -111.228830 UTA Included_in_data_analyses
RP402 38.609980 -111.671650 UTA Included_in_data_analyses
RP404 38.581400 -111.478930 UTA Included_in_data_analyses
RP405 38.254550 -112.331970 UTA Included_in_data_analyses
RP407 38.263850 -112.380530 UTA Included_in_data_analyses
RP408 38.225680 -112.439420 UTA Included_in_data_analyses
RP409 38.675050 -111.662680 UTA Included_in_data_analyses
RP410 40.919820 -110.767530 UTA Included_in_data_analyses
RP411 40.935570 -110.704130 UTA Included_in_data_analyses
RP413 40.950600 -110.647350 UTA Included_in_data_analyses
RP414 40.956930 -110.675970 UTA Included_in_data_analyses
RP415 40.929350 -110.614980 UTA Included_in_data_analyses
RP417 40.896700 -110.662030 UTA Included_in_data_analyses
RP418 40.947070 -110.582900 UTA Included_in_data_analyses
RP419 40.932730 -110.562520 UTA Included_in_data_analyses
RP420 40.909980 -110.548250 UTA Included_in_data_analyses
RP421 40.956700 -110.558850 UTA Included_in_data_analyses
RP422 40.957070 -110.503900 UTA Included_in_data_analyses
RP423 40.953030 -110.461350 UTA Included_in_data_analyses
RP424 40.942930 -110.417500 UTA Included_in_data_analyses
RP425 40.923120 -110.404980 UTA Included_in_data_analyses
RP426 40.954520 -110.392980 UTA Included_in_data_analyses
RP427 41.000830 -110.378100 UTA Included_in_data_analyses
RP428 41.010830 -110.356950 UTA Included_in_data_analyses
RP429 40.981900 -110.345420 UTA Included_in_data_analyses
RP430 40.954280 -110.317370 UTA Included_in_data_analyses
RP432 37.972720 -111.816700 UTA Included_in_data_analyses
RP433 38.612550 -111.967950 UTA Included_in_data_analyses
RP434 38.051880 -112.168050 UTA Included_in_data_analyses
RP435 40.602000 -110.347020 UTA Included_in_data_analyses
RP453 44.992280 -111.858130 UTA Included_in_data_analyses
RP469 41.452220 -111.504370 UTA Included_in_data_analyses
RP470 41.417750 -111.521330 UTA Included_in_data_analyses
RP471 41.475320 -111.483930 UTA Included_in_data_analyses
RP635 40.929350 -110.614980 UTA Included_in_data_analyses
RP638 37.975267 -112.217267 UTA Included_in_data_analyses
RP645 39.825100 -111.356450 UTA Included_in_data_analyses
RP646 39.693330 -111.328280 UTA Included_in_data_analyses
RP647 38.455650 -111.452630 UTA Included_in_data_analyses
RP648 38.223500 -112.376600 UTA Included_in_data_analyses
RP668 38.014300 -111.761620 UTA Included_in_data_analyses
RP669 38.478780 -111.459550 UTA Included_in_data_analyses
RP670 37.999050 -111.794770 UTA Included_in_data_analyses
HZ041 45.033480 -114.106450 WES Included_in_data_analyses
HZ053 45.126580 -114.136630 WES Included_in_data_analyses
HZ088 44.443380 -114.734130 WES Included_in_data_analyses
HZ097 44.443380 -114.734130 WES Included_in_data_analyses
HZ102 44.457280 -114.752880 WES Included_in_data_analyses
HZ152 44.503000 -114.753200 WES Included_in_data_analyses
HZ365 45.114550 -114.078250 WES Included_in_data_analyses
HZ411 44.794300 -114.258367 WES Included_in_data_analyses
HZ422 44.832783 -114.254700 WES Included_in_data_analyses
HZ449 44.441583 -114.733583 WES Included_in_data_analyses
RP017 45.654400 -113.786700 WES Included_in_data_analyses
RP021 37.913000 -119.257600 WES Included_in_data_analyses
RP033 43.497000 -110.954400 WES Included_in_data_analyses
RP037 44.406000 -115.285800 WES Included_in_data_analyses
RP041 44.965000 -114.602100 WES Included_in_data_analyses
RP046 44.366000 -115.143500 WES Included_in_data_analyses
RP053 44.288000 -115.481300 WES Included_in_data_analyses
RP070 45.710000 -113.998100 WES Included_in_data_analyses
RP072 45.705000 -113.988700 WES Included_in_data_analyses
RP074 45.703000 -113.985200 WES Included_in_data_analyses
RP076 44.941000 -114.121100 WES Included_in_data_analyses
RP089 45.200000 -115.990200 WES Included_in_data_analyses
RP092 44.912000 -114.386600 WES Included_in_data_analyses
RP098 44.444000 -115.089300 WES Included_in_data_analyses
RP105 44.604000 -114.542400 WES Included_in_data_analyses
RP106 45.720000 -113.994200 WES Included_in_data_analyses
RP109 45.547000 -113.763200 WES Included_in_data_analyses
RP114 45.336000 -114.003900 WES Included_in_data_analyses
RP115 45.141000 -113.469500 WES Included_in_data_analyses
RP120 45.125000 -114.147200 WES Included_in_data_analyses
RP122 44.841300 -114.272300 WES Included_in_data_analyses
RP126 44.865000 -114.298000 WES Included_in_data_analyses
RP128 45.115500 -114.144200 WES Included_in_data_analyses
RP130 45.534000 -113.080000 WES Included_in_data_analyses
RP131 38.051000 -119.250200 WES Included_in_data_analyses
RP137 44.968000 -114.121000 WES Included_in_data_analyses
RP147 44.475000 -114.730700 WES Included_in_data_analyses
RP148 48.706000 -120.672200 WES Included_in_data_analyses
RP149 43.768000 -113.901400 WES Included_in_data_analyses
RP150 45.679000 -113.832800 WES Included_in_data_analyses
RP154 36.449000 -118.228900 WES Included_in_data_analyses
RP161 46.268000 -111.927500 WES Included_in_data_analyses
RP167 44.416000 -115.470300 WES Included_in_data_analyses
RP174 45.156400 -114.151700 WES Included_in_data_analyses
RP183 44.855000 -118.263800 WES Included_in_data_analyses
RP188 44.807000 -114.270600 WES Included_in_data_analyses
RP192 44.411000 -115.372000 WES Included_in_data_analyses
RP193 44.795000 -113.782200 WES Included_in_data_analyses
RP200 44.296000 -115.479900 WES Included_in_data_analyses
RP202 45.118500 -114.158400 WES Included_in_data_analyses
RP210 44.834000 -118.247700 WES Included_in_data_analyses
RP223 44.370000 -115.397000 WES Included_in_data_analyses
RP224 45.442500 -113.838400 WES Included_in_data_analyses
RP225 45.095000 -113.423300 WES Included_in_data_analyses
RP227 44.479000 -115.320400 WES Included_in_data_analyses
RP230 44.503000 -114.753200 WES Included_in_data_analyses
RP232 44.702500 -114.315800 WES Included_in_data_analyses
RP233 45.602200 -113.682500 WES Included_in_data_analyses
RP244 46.561000 -112.303200 WES Included_in_data_analyses
RP249 44.840900 -114.274200 WES Included_in_data_analyses
RP254 45.170000 -113.520500 WES Included_in_data_analyses
RP263 45.569700 -113.706500 WES Included_in_data_analyses
RP439 45.347120 -111.529670 WES Included_in_data_analyses
RP445 45.458430 -111.854370 WES Included_in_data_analyses
RP448 44.923220 -111.359380 WES Included_in_data_analyses
RP450 45.125250 -111.862000 WES Included_in_data_analyses
RP461 44.562700 -112.143000 WES Included_in_data_analyses
RP462 44.541780 -112.126520 WES Included_in_data_analyses
RP464 44.596780 -111.536120 WES Included_in_data_analyses
RP468 44.485270 -112.088370 WES Included_in_data_analyses
RP472 37.434480 -118.747720 WES Included_in_data_analyses
RP473 37.431330 -118.749470 WES Included_in_data_analyses
RP474 37.433970 -118.748000 WES Included_in_data_analyses
RP475 37.743950 -119.035770 WES Included_in_data_analyses
RP479 44.643680 -113.531830 WES Included_in_data_analyses
RP480 44.608120 -113.576270 WES Included_in_data_analyses
RP636 44.843450 -114.272933 WES Included_in_data_analyses
RP641 44.886700 -111.356280 WES Included_in_data_analyses
RP649 44.577030 -113.472080 WES Included_in_data_analyses
XX044 38.838818 -106.413099 NA excluded_from_data_analyes
RP597 37.394750 -108.068800 NA excluded_from_data_analyes
XX063 37.984970 -111.719630 NA excluded_from_data_analyes
