Experiment Accession,Experiment Title,Organism Name,Instrument,Submitter,Study Accession,Study Title,Sample Accession,Sample Title,"Total Size, Mb",Total RUNs,Total Spots,Total Bases,Library Name,Library Strategy,Library Source,Library Selection
SRX973245,Whole-genome sequencing of Arabidopsis thaliana: Sample 15591,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887556,,8762.93,1,67332851,13466570200,15591,WGS,GENOMIC,RANDOM
SRX973244,Whole-genome sequencing of Arabidopsis thaliana: Sample 15560,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887546,,5892.86,1,45655617,9131123400,15560,WGS,GENOMIC,RANDOM
SRX973243,Whole-genome sequencing of Arabidopsis thaliana: Sample 14319,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887558,,7870.17,1,58751404,11750280800,14319,WGS,GENOMIC,RANDOM
SRX973242,Whole-genome sequencing of Arabidopsis thaliana: Sample 14318,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887557,,4053.41,1,30263964,6052792800,14318,WGS,GENOMIC,RANDOM
SRX973241,Whole-genome sequencing of Arabidopsis thaliana: Sample 14315,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887559,,3679.15,1,27507230,5501446000,14315,WGS,GENOMIC,RANDOM
SRX973240,Whole-genome sequencing of Arabidopsis thaliana: Sample 14314,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887560,,3480.05,1,25754507,5150901400,14314,WGS,GENOMIC,RANDOM
SRX973239,Whole-genome sequencing of Arabidopsis thaliana: Sample 14313,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887580,,3967.11,1,29395508,5879101600,14313,WGS,GENOMIC,RANDOM
SRX973238,Whole-genome sequencing of Arabidopsis thaliana: Sample 14312,Arabidopsis thaliana,Illumina HiSeq 2000,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887561,,3873.92,1,28969423,5793884600,14312,WGS,GENOMIC,RANDOM
SRX973236,Whole-genome sequencing of Arabidopsis thaliana: Sample 10023,Arabidopsis thaliana,unspecified,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887564,,2218.81,1,29763531,4762164960,10023,WGS,GENOMIC,RANDOM
SRX973235,Whole-genome sequencing of Arabidopsis thaliana: Sample 10022,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887550,,2949.08,1,16638246,4401382238,10022,WGS,GENOMIC,RANDOM
SRX973234,Whole-genome sequencing of Arabidopsis thaliana: Sample 10020,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887563,,1937.6,1,10852212,2912744075,10020,WGS,GENOMIC,RANDOM
SRX973233,Whole-genome sequencing of Arabidopsis thaliana: Sample 10018,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887567,,2938.06,1,69202240,3487086810,10018,WGS,GENOMIC,RANDOM
SRX973232,Whole-genome sequencing of Arabidopsis thaliana: Sample 10017,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887565,,968.62,1,27585712,1097862106,10017,WGS,GENOMIC,RANDOM
SRX973231,Whole-genome sequencing of Arabidopsis thaliana: Sample 10015,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887566,,1667.03,1,49228920,2523758487,10015,WGS,GENOMIC,RANDOM
SRX973230,Whole-genome sequencing of Arabidopsis thaliana: Sample 10014,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887568,,1776.93,1,54599208,2111650157,10014,WGS,GENOMIC,RANDOM
SRX973229,Whole-genome sequencing of Arabidopsis thaliana: Sample 10013,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887569,,759.85,1,23391786,884191359,10013,WGS,GENOMIC,RANDOM
SRX973228,Whole-genome sequencing of Arabidopsis thaliana: Sample 10012,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887570,,1495.6,1,34130462,1764020555,10012,WGS,GENOMIC,RANDOM
SRX973227,Whole-genome sequencing of Arabidopsis thaliana: Sample 10011,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887581,,2198.5,1,56978496,2614388910,10011,WGS,GENOMIC,RANDOM
SRX973226,Whole-genome sequencing of Arabidopsis thaliana: Sample 10010,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887571,,3080.58,1,74119906,3523353373,10010,WGS,GENOMIC,RANDOM
SRX973225,Whole-genome sequencing of Arabidopsis thaliana: Sample 10009,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887574,,1406.56,1,41930070,1658789873,10009,WGS,GENOMIC,RANDOM
SRX973224,Whole-genome sequencing of Arabidopsis thaliana: Sample 10008,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887572,,823.5,1,24160982,938848812,10008,WGS,GENOMIC,RANDOM
SRX973223,Whole-genome sequencing of Arabidopsis thaliana: Sample 10006,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887573,,1367.82,1,40226132,1602310769,10006,WGS,GENOMIC,RANDOM
SRX973222,Whole-genome sequencing of Arabidopsis thaliana: Sample 10005,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887585,,747.09,1,24478686,850739710,10005,WGS,GENOMIC,RANDOM
SRX973221,Whole-genome sequencing of Arabidopsis thaliana: Sample 10004,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887575,,862.98,1,25185904,1012032088,10004,WGS,GENOMIC,RANDOM
SRX973220,Whole-genome sequencing of Arabidopsis thaliana: Sample 10002,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887576,,2662.24,1,60710932,3146232939,10002,WGS,GENOMIC,RANDOM
SRX973219,Whole-genome sequencing of Arabidopsis thaliana: Sample 10001,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887577,,1203.64,1,35489056,1453962783,10001,WGS,GENOMIC,RANDOM
SRX973218,Whole-genome sequencing of Arabidopsis thaliana: Sample 9999,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887578,,2526.47,1,67173060,3037740619,9999,WGS,GENOMIC,RANDOM
SRX973217,Whole-genome sequencing of Arabidopsis thaliana: Sample 9998,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887579,,1412.37,1,41265308,1663909692,9998,WGS,GENOMIC,RANDOM
SRX973216,Whole-genome sequencing of Arabidopsis thaliana: Sample 9997,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887584,,2352.85,1,56374274,2829689797,9997,WGS,GENOMIC,RANDOM
SRX973215,Whole-genome sequencing of Arabidopsis thaliana: Sample 9996,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887587,,724.68,1,22394044,845856706,9996,WGS,GENOMIC,RANDOM
SRX973214,Whole-genome sequencing of Arabidopsis thaliana: Sample 9995,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887582,,853.33,1,25270020,1032863870,9995,WGS,GENOMIC,RANDOM
SRX973213,Whole-genome sequencing of Arabidopsis thaliana: Sample 9993,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887583,,1888.64,1,59303338,2270418702,9993,WGS,GENOMIC,RANDOM
SRX973212,Whole-genome sequencing of Arabidopsis thaliana: Sample 9991,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887588,,2040.81,1,53589896,2480177009,9991,WGS,GENOMIC,RANDOM
SRX973211,Whole-genome sequencing of Arabidopsis thaliana: Sample 9990,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887592,,838.53,1,28929048,1063273964,9990,WGS,GENOMIC,RANDOM
SRX973210,Whole-genome sequencing of Arabidopsis thaliana: Sample 9988,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887586,,1517.46,1,44013944,1819656415,9988,WGS,GENOMIC,RANDOM
SRX973209,Whole-genome sequencing of Arabidopsis thaliana: Sample 9987,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887593,,921.32,1,26301530,1056295343,9987,WGS,GENOMIC,RANDOM
SRX973208,Whole-genome sequencing of Arabidopsis thaliana: Sample 9986,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887589,,747.84,1,22956388,927109935,9986,WGS,GENOMIC,RANDOM
SRX973207,Whole-genome sequencing of Arabidopsis thaliana: Sample 9985,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887591,,807.33,1,25575300,956818965,9985,WGS,GENOMIC,RANDOM
SRX973206,Whole-genome sequencing of Arabidopsis thaliana: Sample 9984,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887590,,838.27,1,24819702,983803550,9984,WGS,GENOMIC,RANDOM
SRX973205,Whole-genome sequencing of Arabidopsis thaliana: Sample 9983,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887594,,937.38,1,26635134,1063260909,9983,WGS,GENOMIC,RANDOM
SRX973204,Whole-genome sequencing of Arabidopsis thaliana: Sample 9982,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887595,,2452.53,1,57085240,2960855379,9982,WGS,GENOMIC,RANDOM
SRX973203,Whole-genome sequencing of Arabidopsis thaliana: Sample 9981,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887597,,1424.65,1,42930484,1693439217,9981,WGS,GENOMIC,RANDOM
SRX973202,Whole-genome sequencing of Arabidopsis thaliana: Sample 9980,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887596,,978.89,1,28034188,1109121417,9980,WGS,GENOMIC,RANDOM
SRX973201,Whole-genome sequencing of Arabidopsis thaliana: Sample 9979,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887599,,2639.16,1,60033018,3054396751,9979,WGS,GENOMIC,RANDOM
SRX973200,Whole-genome sequencing of Arabidopsis thaliana: Sample 9978,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887598,,1263.14,1,31333908,1546704330,9978,WGS,GENOMIC,RANDOM
SRX973199,Whole-genome sequencing of Arabidopsis thaliana: Sample 9976,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887600,,855.59,1,27288162,1023192851,9976,WGS,GENOMIC,RANDOM
SRX973198,Whole-genome sequencing of Arabidopsis thaliana: Sample 9975,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887603,,2478.47,1,60623462,3039306397,9975,WGS,GENOMIC,RANDOM
SRX973197,Whole-genome sequencing of Arabidopsis thaliana: Sample 9974,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887601,,723.04,1,22846412,855342320,9974,WGS,GENOMIC,RANDOM
SRX973196,Whole-genome sequencing of Arabidopsis thaliana: Sample 9973,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887602,,1049.05,1,25768316,1373462055,9973,WGS,GENOMIC,RANDOM
SRX973195,Whole-genome sequencing of Arabidopsis thaliana: Sample 9972,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887604,,758.35,1,22628150,894444878,9972,WGS,GENOMIC,RANDOM
SRX973194,Whole-genome sequencing of Arabidopsis thaliana: Sample 9971,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887607,,2506.51,1,57939124,3010678195,9971,WGS,GENOMIC,RANDOM
SRX973193,Whole-genome sequencing of Arabidopsis thaliana: Sample 9970,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887605,,1195.45,1,45303618,1762135279,9970,WGS,GENOMIC,RANDOM
SRX973192,Whole-genome sequencing of Arabidopsis thaliana: Sample 9969,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887606,,829.49,1,25836078,988586895,9969,WGS,GENOMIC,RANDOM
SRX973191,Whole-genome sequencing of Arabidopsis thaliana: Sample 9968,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887609,,874.11,1,27018020,1034403866,9968,WGS,GENOMIC,RANDOM
SRX973190,Whole-genome sequencing of Arabidopsis thaliana: Sample 9966,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887608,,924.08,1,26359926,1059840628,9966,WGS,GENOMIC,RANDOM
SRX973189,Whole-genome sequencing of Arabidopsis thaliana: Sample 9965,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887610,,2969.93,1,70806874,3442431171,9965,WGS,GENOMIC,RANDOM
SRX973188,Whole-genome sequencing of Arabidopsis thaliana: Sample 9964,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887544,,1198.54,1,36377768,1428615529,9964,WGS,GENOMIC,RANDOM
SRX973187,Whole-genome sequencing of Arabidopsis thaliana: Sample 9963,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887611,,937.71,1,26647980,1071358684,9963,WGS,GENOMIC,RANDOM
SRX973186,Whole-genome sequencing of Arabidopsis thaliana: Sample 9962,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887616,,871.73,1,27430060,1039031103,9962,WGS,GENOMIC,RANDOM
SRX973185,Whole-genome sequencing of Arabidopsis thaliana: Sample 9960,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887612,,898.54,1,26156416,1031558291,9960,WGS,GENOMIC,RANDOM
SRX973184,Whole-genome sequencing of Arabidopsis thaliana: Sample 9959,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887615,,964.03,1,27727292,1099638261,9959,WGS,GENOMIC,RANDOM
SRX973183,Whole-genome sequencing of Arabidopsis thaliana: Sample 9958,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887545,,3120.41,1,74160468,3564247322,9958,WGS,GENOMIC,RANDOM
SRX973182,Whole-genome sequencing of Arabidopsis thaliana: Sample 9957,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887543,,771.66,1,23903670,905420801,9957,WGS,GENOMIC,RANDOM
SRX973181,Whole-genome sequencing of Arabidopsis thaliana: Sample 9956,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887542,,2608.53,1,59239658,3039694686,9956,WGS,GENOMIC,RANDOM
SRX973180,Whole-genome sequencing of Arabidopsis thaliana: Sample 9955,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887617,,822.27,1,24233400,970563025,9955,WGS,GENOMIC,RANDOM
SRX973179,Whole-genome sequencing of Arabidopsis thaliana: Sample 9953,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887613,,3067.65,1,73144776,3537235810,9953,WGS,GENOMIC,RANDOM
SRX973178,Whole-genome sequencing of Arabidopsis thaliana: Sample 9952,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887614,,827.55,1,24261580,974697893,9952,WGS,GENOMIC,RANDOM
SRX973177,Whole-genome sequencing of Arabidopsis thaliana: Sample 9951,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887621,,1471.61,1,45600202,1773961006,9951,WGS,GENOMIC,RANDOM
SRX973176,Whole-genome sequencing of Arabidopsis thaliana: Sample 9950,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887619,,2588.94,1,57672144,3038652455,9950,WGS,GENOMIC,RANDOM
SRX973175,Whole-genome sequencing of Arabidopsis thaliana: Sample 9949,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887618,,827.7,1,23296486,1477266280,9949,WGS,GENOMIC,RANDOM
SRX973174,Whole-genome sequencing of Arabidopsis thaliana: Sample 9948,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887622,,2560.16,1,70018808,3163049693,9948,WGS,GENOMIC,RANDOM
SRX973173,Whole-genome sequencing of Arabidopsis thaliana: Sample 9947,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887620,,1204.64,1,35730958,1409856387,9947,WGS,GENOMIC,RANDOM
SRX973172,Whole-genome sequencing of Arabidopsis thaliana: Sample 9946,Arabidopsis thaliana,Illumina Genome Analyzer II,Max Planck Institute for Developmental Biology,SRP056687,1001 Genomes: A Catalog of Arabidopsis thaliana Genetic Variation,SRS887624,,952.92,1,27549326,1078840289,9946,WGS,GENOMIC,RANDOM
