#VCF	GENOME	GFF	IS_POOL	GENOME_SPECIES	READY	RUN _OUTPUT	OUTPUT_DIR
/lu213/james.whiting/RepAdapt/data/VCFs/12_Athaliana_Roux_pool/Athal_full_concatened.filtered_NoMiss0.25_maf0.05.SNPTable.txt	data/reference_genomes/A.thaliana_reference/GCF_000001735.4_TAIR10.1_genomic.fasta	data/reference_genomes/A.thaliana_reference/GCF_000001735.4_TAIR10.1_genomic_CHR_MATCHED.gff	TRUE	Athaliana	YES	NO	Arabidopsis_thaliana_Roux_PoolSeq
/lu213/james.whiting/RepAdapt/data/VCFs/13_Ptremula_Ingvarsson_wgs/ingvarsson_Ptremula_full_concatened_maf05.vcf.gz	data/reference_genomes/P.tremula_reference/Potra02_genome.CHR_MATCHED.fasta	data/reference_genomes/P.tremula_reference/Potra02_genes.CHR_MATCHED.gff	FALSE	Ptremula	YES	NO	Populus_tremula_Ingvarsson_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/14a_Athaliana_Weigel_wgs_SWE/weigel_Athaliana_SWE_full_concatened_maf05.vcf.gz	data/reference_genomes/A.thaliana_reference/GCF_000001735.4_TAIR10.1_genomic.fasta	data/reference_genomes/A.thaliana_reference/GCF_000001735.4_TAIR10.1_genomic_CHR_MATCHED.gff	FALSE	Athaliana	YES	NO	Arabidopsis_thaliana_Weigel_WGS_SWE
/lu213/james.whiting/RepAdapt/data/VCFs/14b_Athaliana_Weigel_wgs_IBE/weigel_Athaliana_IBE_full_concatened_maf05.vcf.gz	data/reference_genomes/A.thaliana_reference/GCF_000001735.4_TAIR10.1_genomic.fasta	data/reference_genomes/A.thaliana_reference/GCF_000001735.4_TAIR10.1_genomic_CHR_MATCHED.gff	FALSE	Athaliana	YES	NO	Arabidopsis_thaliana_Weigel_WGS_IBE
/lu213/james.whiting/RepAdapt/data/VCFs/15_Palba_Lexer-Christe-Paris_pool/Palba_full_concatened.vcf.gz	data/reference_genomes/P.tremula_reference/Potra02_genome.CHR_MATCHED.fasta	data/reference_genomes/P.tremula_reference/Potra02_genes.CHR_MATCHED.gff	TRUE	NA	NO	NO	NA
/lu213/james.whiting/RepAdapt/data/VCFs/16_Psylvestris_Tanja/Psylvestris_full_concatened_IND.vcf.convert.vcf.gz 	data/reference_genomes/P.taeda_reference/Pita.2_01.fa	data/reference_genomes/P.taeda_reference/Pita.2_01.gtf	FALSE	Ptaeda	YES	YES	Pinus_sylvestris_Tanja_Capture
/lu213/james.whiting/RepAdapt/data/VCFs/18_Qpetraea_Kremer/kremer_Qpet_pooled-varscan_all_bedfiles_SNP_maf0.05_filtered.txt	data/reference_genomes/Q.petraea_reference/Qrob_PM1N.fasta	data/reference_genomes/Q.petraea_reference/Qrob_PM1N_genes_20161004.gff	TRUE	Qpetraea	NO	NO	Quercus_petraea_Kremer_PoolSeq
/lu213/james.whiting/RepAdapt/data/VCFs/20a_Aalp_Rellstab/rellstab_Aalp_pooled_Aalp_genome-varscan_all_bedfiles_SNP_filtered_NoMiss0.25_maf0.05.txt	data/reference_genomes/A.alpina_reference/Arabis_alpina.MPIPZ.V5.chr.all.fasta	data/reference_genomes/A.alpina_reference/Arabis_alpina.MPIPZ.V5.chr.all.liftOverV4.v3.gff3	TRUE	Aalpina	NO	NO	Arabis_alpina_Rellstab_PoolSeq
/lu213/james.whiting/RepAdapt/data/VCFs/20b_Ahal_Rellstab/rellstab_Ahal_pooled-varscan_all_bedfiles_SNP_filtered_NoMiss0.25_maf0.05.txt	data/reference_genomes/A.halleri_gemmifera_reference/GCA_900078215.1_Ahal2.2_genomic.fasta	data/reference_genomes/A.halleri_gemmifera_reference/Arabidopsis_halleri.Ahal2.2.45_CHR_MATCHED.gff3	TRUE	Ahalleri	NO	NO Arabidopsis_halleri_Rellstab_PoolSeq	
/lu213/james.whiting/RepAdapt/data/VCFs/20c_Cres_Rellstab/rellstab_Cres_pooled-varscan_all_bedfiles_SNP_filtered_NoMiss0.25_maf0.05.txt	data/reference_genomes/A.halleri_gemmifera_reference/GCA_900078215.1_Ahal2.2_genomic.fasta	data/reference_genomes/A.halleri_gemmifera_reference/Arabidopsis_halleri.Ahal2.2.45_CHR_MATCHED.gff3	TRUE	Ahalleri	NO	NO	Cardamine_resedifolia_Rellstab_PoolSeq
/lu213/james.whiting/RepAdapt/data/VCFs/21a_Phallii_Lowry/Phallii_full_concatened.vcf.gz	data/reference_genomes/P.hallii_reference/GCF_002211085.1_PHallii_v3.1_genomic.fasta	data/reference_genomes/P.hallii_reference/GCF_002211085.1_PHallii_v3.1_genomic_CHR_MATCHED.gff	FALSE	Phallii	YES	YES	Panicum_hallii_Lowry_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/21b_Pfilipes_Lowry/Pfilipes_full_concatened.vcf.gz	data/reference_genomes/P.hallii_reference/GCF_002211085.1_PHallii_v3.1_genomic.fasta	data/reference_genomes/P.hallii_reference/GCF_002211085.1_PHallii_v3.1_genomic_CHR_MATCHED.gff	FALSE	Phallii	YES	YES	NA
/lu213/james.whiting/RepAdapt/data/VCFs/19a_Ealbens_Murray/murray_Ealb_full_concatened_no_hybrids.vcf.gz	data/reference_genomes/E.grandis_reference/Egrandis1_0_genomic.fasta	data/reference_genomes/E.grandis_reference/Egrandis1_0_genomic_CHR_MATCHED.gff	FALSE	Egrandis	YES	YES	Eucalyptus_albens_Murray_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/19b_Esideroxylon_Murray/murray_Esid_full_concatened_no_hybrids.vcf.gz	data/reference_genomes/E.grandis_reference/Egrandis1_0_genomic.fasta	data/reference_genomes/E.grandis_reference/Egrandis1_0_genomic_CHR_MATCHED.gff	FALSE	Egrandis	YES	YES	Eucalyptus_sideroxylon_Murray_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/19c_Emagnificata_Murray/murray_Emag_full_concatened.vcf.gz	data/reference_genomes/E.grandis_reference/Egrandis1_0_genomic.fasta	data/reference_genomes/E.grandis_reference/Egrandis1_0_genomic_CHR_MATCHED.gff	FALSE	Egrandis	YES	NO	Eucalyptus_magnificata_Murray_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/22_Pabies_Milesi/Pabies_conctenated_filtered.vcf.gz	data/reference_genomes/P.abies_reference/Pabies1.0-genome.CHR_MATCHED.fa	data/reference_genomes/P.abies_reference/Pabies01-gene_CHR_MATCHED.gff3	FALSE	Pabies	YES	YES	Picea_abies_Milesi_Capture
/lu213/james.whiting/RepAdapt/data/VCFs/23_Pobovata_Milesi/Pobovata_conctenated_filtered.vcf.gz	data/reference_genomes/P.abies_reference/Pabies1.0-genome.CHR_MATCHED.fa	data/reference_genomes/P.abies_reference/Pabies01-gene_CHR_MATCHED.gff3	FALSE	Pabies	YES	YES	Picea_obovata_Milesi_Capture
/lu213/james.whiting/RepAdapt/data/VCFs/24_Pmenziesii_Coastal_CoAdapTree/DF_pooled-varscan_all_bedfiles_SNP_FDC_maf_RD-recalculated.SNPTable.txt	data/reference_genomes/P.menziesii_reference/Psme.1_0.fa	data/reference_genomes/P.menziesii_reference/Psme.1_0.gtf	TRUE	Pmenziesii	YES	YES	Pseudotsuga_menziesii_Coastal_CoAdapTree_PoolSeq
/lu213/james.whiting/RepAdapt/data/VCFs/25_Pmenziesii_Interior_CoAdapTree/DF_pooled-varscan_all_bedfiles_SNP_FDI_maf_RD-recalculated.SNPTable.txt	data/reference_genomes/P.menziesii_reference/Psme.1_0.fa	data/reference_genomes/P.menziesii_reference/Psme.1_0.gtf	TRUE	Pmenziesii	YES	YES	Pseudotsuga_menziesii_Interior_CoAdapTree_PoolSeq
/lu213/james.whiting/RepAdapt/data/VCFs/26_Pbanksiana_CoAdapTree/JP_pooled-varscan_all_bedfiles_SNP_without-p24_maf_RD-recalculated-pita2_coords.SNPTable.txt	data/reference_genomes/P.taeda_reference/Pita.2_01.fa	data/reference_genomes/P.taeda_reference/Pita.2_01.gtf	TRUE	Ptaeda	YES	NO	Pinus_banksiana_CoAdapTree_PoolSeq
/lu213/james.whiting/RepAdapt/data/VCFs/27_Loccidentalis_CoAdapTree/WL_pseudo-varscan_all_bedfiles_SNP_maf_RD-recalculated.SNPTable.txt	data/reference_genomes/P.menziesii_reference/Psme.1_0.fa	data/reference_genomes/P.menziesii_reference/Psme.1_0.gtf	TRUE	Pmenziesii	YES	YES	Larix_occidentalis_CoAdapTree_PoolSeq
/lu213/james.whiting/RepAdapt/data/VCFs/28_Hargophyllus_Todesco_Individual/Helianthus_argophyllus.vcf.gz	data/reference_genomes/H.annuus_reference/Ha412HOv2.0-20181130.fasta	data/reference_genomes/H.annuus_reference/HAN412_Eugene_curated_v1_1.gff3	FALSE	Hannuus	YES	YES	Helianthus_argophyllus_Todesco_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/29_Hpetiolaris_Todesco_Individual/Helianthus_petiolaris.vcf.gz	data/reference_genomes/H.annuus_reference/Ha412HOv2.0-20181130.fasta	data/reference_genomes/H.annuus_reference/HAN412_Eugene_curated_v1_1.gff3	FALSE	Hannuus	YES	YES	Helianthus_petiolaris_Todesco_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/30_Hannuus_Todesco_Individual/Helianthus_annuus.vcf.gz	data/reference_genomes/H.annuus_reference/Ha412HOv2.0-20181130.fasta	data/reference_genomes/H.annuus_reference/HAN412_Eugene_curated_v1_1.gff3	FALSE	Hannuus	YES	YES	Helianthus_annuus_Todesco_Individual
/lu213/james.whiting/RepAdapt/data/VCFs/31a_Pcontorta_Adaptree_Capture/lp_adaptree-bcftools_all_bedfiles-good_samps.filt.vcf.gz	data/reference_genomes/P.taeda_reference/Pita.2_01.fa	data/reference_genomes/P.taeda_reference/Pita.2_01.gtf	FALSE	Ptaeda	YES	NO	Pinus_contorta_Adaptree_Capture
/lu213/james.whiting/RepAdapt/data/VCFs/31b_PglaucaXengelmannii_Adaptree_Capture/is_adaptree-bcftools_all_bedfiles.filt.convert.CHR_matched.vcf.gz	data/reference_genomes/P.abies_reference/Pabies1.0-genome.CHR_MATCHED.fa	data/reference_genomes/P.abies_reference/Pabies01-gene_CHR_MATCHED.gff3	FALSE	Pabies	YES	NO	Picea_glaucaxengelmannii_Adaptree_Capture
/lu213/james.whiting/RepAdapt/data/VCFs/17_Pdeltoides_Kirst/kirst_Pdeltoides_full_concatened_maf05.vcf.gz 	data/reference_genomes/P.deltoides_reference/PdeltoidesWV94_445_v2.0.fa	data/reference_genomes/P.deltoides_reference/PdeltoidesWV94_445_v2.1.gene_CHR_MATCHED.gff3	FALSE	Pdeltoides	YES	YES	Populus_deltoides_Kirst_Capture
