chr	pos	cM
Ha412HOChr02	136000001	34.71125
Ha412HOChr02	137000001	34.7125
Ha412HOChr02	138000001	34.71375
Ha412HOChr02	139000001	34.72
Ha412HOChr02	140000001	34.98
Ha412HOChr02	141000001	35.3
Ha412HOChr02	142000001	35.64
Ha412HOChr02	143000001	35.96
Ha412HOChr02	144000001	36.2
Ha412HOChr02	145000001	36.2975
Ha412HOChr02	146000001	36.3
Ha412HOChr02	147000001	36.3025
Ha412HOChr02	148000001	36.32
Ha412HOChr02	149000001	36.46
Ha412HOChr02	150000001	36.69
Ha412HOChr02	151000001	36.97
Ha412HOChr02	152000001	37.32
Ha412HOChr02	153000001	37.7
Ha412HOChr02	154000001	38.11
Ha412HOChr02	155000001	38.58
Ha412HOChr02	156000001	39.48
Ha412HOChr02	157000001	40.6
Ha412HOChr02	158000001	41.36
Ha412HOChr02	159000001	41.7
Ha412HOChr02	160000001	41.95
Ha412HOChr02	161000001	42.147
Ha412HOChr02	162000001	42.149
Ha412HOChr02	163000001	42.151
Ha412HOChr02	164000001	42.153
Ha412HOChr02	165000001	42.73
Ha412HOChr02	166000001	43.35
Ha412HOChr02	167000001	43.81
Ha412HOChr02	168000001	44.23
Ha412HOChr02	169000001	44.44
Ha412HOChr02	170000001	44.53
Ha412HOChr02	171000001	44.69
Ha412HOChr02	172000001	45.26
Ha412HOChr02	173000001	46.29
Ha412HOChr02	174000001	47.49
Ha412HOChr02	175000001	48.39
Ha412HOChr02	176000001	49.81
Ha412HOChr02	177000001	52.27
Ha412HOChr02	178000001	54.95
Ha412HOChr02	179000001	58.86
Ha412HOChr02	180000001	64.3
Ha412HOChr02	181000001	69.7
Ha412HOChr02	182000001	73.76
Ha412HOChr02	183000001	77.21
Ha412HOChr02	184000001	81.95
Ha412HOChr02	184765313	85.94
Ha412HOChr03	1	0.00833333333333333
Ha412HOChr03	1000001	0.0116666666666667
Ha412HOChr03	2000001	2.93
Ha412HOChr03	3000001	6.05
Ha412HOChr03	4000001	8.54
Ha412HOChr03	5000001	10.29
Ha412HOChr03	6000001	11.98
Ha412HOChr03	7000001	13.47
Ha412HOChr03	8000001	15.1
Ha412HOChr03	9000001	16.32
Ha412HOChr03	10000001	17.42
Ha412HOChr03	11000001	18.78
Ha412HOChr03	12000001	20.73
Ha412HOChr03	13000001	22.6
Ha412HOChr03	14000001	23.71
Ha412HOChr03	15000001	24.18
Ha412HOChr03	16000001	24.2375
Ha412HOChr03	17000001	24.24
Ha412HOChr03	18000001	24.2425
Ha412HOChr03	19000001	24.79
Ha412HOChr03	20000001	25.8
Ha412HOChr03	21000001	26.38
Ha412HOChr03	22000001	26.67
Ha412HOChr03	23000001	26.87
Ha412HOChr03	24000001	26.89
Ha412HOChr03	25000001	26.96
Ha412HOChr03	26000001	27.24
Ha412HOChr03	27000001	27.74
Ha412HOChr03	28000001	28.43
Ha412HOChr03	29000001	28.96
Ha412HOChr03	30000001	29.067
Ha412HOChr03	31000001	29.069
Ha412HOChr03	32000001	29.071
Ha412HOChr03	33000001	29.073
Ha412HOChr03	34000001	29.15
Ha412HOChr03	35000001	29.22
Ha412HOChr03	36000001	29.29
Ha412HOChr03	37000001	29.35
Ha412HOChr03	38000001	29.4
Ha412HOChr03	39000001	29.44
Ha412HOChr03	40000001	29.47
Ha412HOChr03	41000001	29.5
Ha412HOChr03	42000001	29.52
Ha412HOChr03	43000001	29.54
Ha412HOChr03	44000001	29.55
Ha412HOChr03	45000001	29.56
Ha412HOChr03	46000001	29.5657692307692
Ha412HOChr03	47000001	29.5665384615385
Ha412HOChr03	48000001	29.5673076923077
Ha412HOChr03	49000001	29.5680769230769
Ha412HOChr03	50000001	29.5688461538462
Ha412HOChr03	51000001	29.5696153846154
Ha412HOChr03	52000001	29.5703846153846
Ha412HOChr03	53000001	29.5711538461538
Ha412HOChr03	54000001	29.5719230769231
Ha412HOChr03	55000001	29.5726923076923
Ha412HOChr03	56000001	29.5734615384615
Ha412HOChr03	57000001	29.5742307692308
Ha412HOChr03	58000001	29.58
Ha412HOChr03	59000001	29.6
Ha412HOChr03	60000001	29.62
Ha412HOChr03	61000001	29.6256666666667
Ha412HOChr03	62000001	29.6263333333333
Ha412HOChr03	63000001	29.627
Ha412HOChr03	64000001	29.6276666666667
Ha412HOChr03	65000001	29.6283333333333
Ha412HOChr03	66000001	29.629
Ha412HOChr03	67000001	29.6296666666667
Ha412HOChr03	68000001	29.6303333333333
Ha412HOChr03	69000001	29.631
Ha412HOChr03	70000001	29.6316666666667
Ha412HOChr03	71000001	29.6323333333333
Ha412HOChr03	72000001	29.633
Ha412HOChr03	73000001	29.6336666666667
Ha412HOChr03	74000001	29.6343333333333
Ha412HOChr03	75000001	29.64
Ha412HOChr03	76000001	29.67
Ha412HOChr03	77000001	29.6755555555556
Ha412HOChr03	78000001	29.6761111111111
Ha412HOChr03	79000001	29.6766666666667
Ha412HOChr03	80000001	29.6772222222222
Ha412HOChr03	81000001	29.6777777777778
Ha412HOChr03	82000001	29.6783333333333
Ha412HOChr03	83000001	29.6788888888889
Ha412HOChr03	84000001	29.6794444444444
Ha412HOChr03	85000001	29.68
Ha412HOChr03	86000001	29.6805555555556
Ha412HOChr03	87000001	29.6811111111111
Ha412HOChr03	88000001	29.6816666666667
Ha412HOChr03	89000001	29.6822222222222
Ha412HOChr03	90000001	29.6827777777778
Ha412HOChr03	91000001	29.6833333333333
Ha412HOChr03	92000001	29.6838888888889
Ha412HOChr03	93000001	29.6844444444444
Ha412HOChr03	94000001	29.87
Ha412HOChr03	95000001	30.06
Ha412HOChr03	96000001	30.1066666666667
Ha412HOChr03	97000001	30.1083333333333
Ha412HOChr03	98000001	30.11
Ha412HOChr03	99000001	30.1116666666667
Ha412HOChr03	100000001	30.1133333333333
Ha412HOChr03	101000001	30.13
Ha412HOChr03	102000001	30.34
Ha412HOChr03	103000001	30.59
Ha412HOChr03	104000001	30.6666666666667
Ha412HOChr03	105000001	30.6683333333333
Ha412HOChr03	106000001	30.67
Ha412HOChr03	107000001	30.6716666666667
Ha412HOChr03	108000001	30.6733333333333
Ha412HOChr03	109000001	31.03
Ha412HOChr03	110000001	31.54
Ha412HOChr03	111000001	31.77
Ha412HOChr03	112000001	31.7959090909091
Ha412HOChr03	113000001	31.7968181818182
Ha412HOChr03	114000001	31.7977272727273
Ha412HOChr03	115000001	31.7986363636364
Ha412HOChr03	116000001	31.7995454545455
Ha412HOChr03	117000001	31.8004545454545
Ha412HOChr03	118000001	31.8013636363636
Ha412HOChr03	119000001	31.8022727272727
Ha412HOChr03	120000001	31.8031818181818
Ha412HOChr03	121000001	31.8040909090909
Ha412HOChr03	122000001	32.04
Ha412HOChr03	123000001	32.38
Ha412HOChr03	124000001	32.81
Ha412HOChr03	125000001	33.32
Ha412HOChr03	126000001	33.88
Ha412HOChr03	127000001	34.46
Ha412HOChr03	128000001	35.03
Ha412HOChr03	129000001	35.56
Ha412HOChr03	130000001	36.03
Ha412HOChr03	131000001	36.39
Ha412HOChr03	132000001	36.63
Ha412HOChr03	133000001	36.707
Ha412HOChr03	134000001	36.709
Ha412HOChr03	135000001	36.711
Ha412HOChr03	136000001	36.713
Ha412HOChr03	137000001	36.9
Ha412HOChr03	138000001	37.09
Ha412HOChr03	139000001	37.31
Ha412HOChr03	140000001	37.74
Ha412HOChr03	141000001	38.21
Ha412HOChr03	142000001	38.57
Ha412HOChr03	143000001	38.7
Ha412HOChr03	144000001	38.71
Ha412HOChr03	145000001	38.76
Ha412HOChr03	146000001	38.96
Ha412HOChr03	147000001	39.15
Ha412HOChr03	148000001	39.37
Ha412HOChr03	149000001	39.93
Ha412HOChr03	150000001	40.55
Ha412HOChr03	151000001	40.8
Ha412HOChr03	152000001	40.83
Ha412HOChr03	153000001	40.95
Ha412HOChr03	154000001	41.56
Ha412HOChr03	155000001	42.54
Ha412HOChr03	156000001	43.32
Ha412HOChr03	157000001	43.66
Ha412HOChr03	158000001	44.14
Ha412HOChr03	159000001	44.87
Ha412HOChr03	160000001	45.58
Ha412HOChr03	161000001	46.04
Ha412HOChr03	162000001	46.2464285714286
Ha412HOChr03	163000001	46.2478571428571
Ha412HOChr03	164000001	46.2492857142857
Ha412HOChr03	165000001	46.2507142857143
Ha412HOChr03	166000001	46.2521428571429
Ha412HOChr03	167000001	46.2535714285714
Ha412HOChr03	168000001	46.36
Ha412HOChr03	169000001	47.26
Ha412HOChr03	170000001	48.46
Ha412HOChr03	171000001	49.46
Ha412HOChr03	172000001	50.55
Ha412HOChr03	173000001	52.2
Ha412HOChr03	174000001	54.29
Ha412HOChr03	175000001	56.67
Ha412HOChr03	176000001	59.98
Ha412HOChr03	177000001	63.63
Ha412HOChr03	178000001	67.48
Ha412HOChr03	179000001	70.99
Ha412HOChr03	180000001	73.59
Ha412HOChr03	181000001	75.33
Ha412HOChr03	182000001	76.54
Ha412HOChr03	182121094	76.68
Ha412HOChr04	1	0.01
Ha412HOChr04	1000001	1.86
Ha412HOChr04	2000001	6.46
Ha412HOChr04	3000001	10.18
Ha412HOChr04	4000001	13.05
Ha412HOChr04	5000001	17.02
Ha412HOChr04	6000001	22.12
Ha412HOChr04	7000001	26.49
Ha412HOChr04	8000001	28.9
Ha412HOChr04	9000001	29.6
Ha412HOChr04	10000001	30
Ha412HOChr04	11000001	30.1
Ha412HOChr04	12000001	30.21
Ha412HOChr04	13000001	30.8
Ha412HOChr04	14000001	31.72
Ha412HOChr04	15000001	32.67
Ha412HOChr04	16000001	33.69
Ha412HOChr04	17000001	35.9
Ha412HOChr04	18000001	38.91
Ha412HOChr04	19000001	41.45
Ha412HOChr04	20000001	42.68
Ha412HOChr04	21000001	43.02
Ha412HOChr04	22000001	43.13
Ha412HOChr04	23000001	43.34
Ha412HOChr04	24000001	43.72
Ha412HOChr04	25000001	44.23
Ha412HOChr04	26000001	44.74
Ha412HOChr04	27000001	45.21
Ha412HOChr04	28000001	45.59
Ha412HOChr04	29000001	45.87
Ha412HOChr04	30000001	46.14
Ha412HOChr04	31000001	46.33
Ha412HOChr04	32000001	46.43
Ha412HOChr04	33000001	46.5
Ha412HOChr04	34000001	46.6
Ha412HOChr04	35000001	46.76
Ha412HOChr04	36000001	46.95
Ha412HOChr04	37000001	47.15
Ha412HOChr04	38000001	47.45
Ha412HOChr04	39000001	47.57
Ha412HOChr04	40000001	47.61
Ha412HOChr04	41000001	47.84
Ha412HOChr04	42000001	48.37
Ha412HOChr04	43000001	48.65
Ha412HOChr04	44000001	48.66625
Ha412HOChr04	45000001	48.6675
Ha412HOChr04	46000001	48.66875
Ha412HOChr04	47000001	48.67
Ha412HOChr04	48000001	48.67125
Ha412HOChr04	49000001	48.6725
Ha412HOChr04	50000001	48.67375
Ha412HOChr04	51000001	48.7
Ha412HOChr04	52000001	49.16
Ha412HOChr04	53000001	49.98
Ha412HOChr04	54000001	50.5
Ha412HOChr04	55000001	50.5453703703704
Ha412HOChr04	56000001	50.5457407407407
Ha412HOChr04	57000001	50.5461111111111
Ha412HOChr04	58000001	50.5464814814815
Ha412HOChr04	59000001	50.5468518518518
Ha412HOChr04	60000001	50.5472222222222
Ha412HOChr04	61000001	50.5475925925926
Ha412HOChr04	62000001	50.547962962963
Ha412HOChr04	63000001	50.5483333333333
Ha412HOChr04	64000001	50.5487037037037
Ha412HOChr04	65000001	50.5490740740741
Ha412HOChr04	66000001	50.5494444444444
Ha412HOChr04	67000001	50.5498148148148
Ha412HOChr04	68000001	50.5501851851852
Ha412HOChr04	69000001	50.5505555555555
Ha412HOChr04	70000001	50.5509259259259
Ha412HOChr04	71000001	50.5512962962963
Ha412HOChr04	72000001	50.5516666666667
Ha412HOChr04	73000001	50.552037037037
Ha412HOChr04	74000001	50.5524074074074
Ha412HOChr04	75000001	50.5527777777778
Ha412HOChr04	76000001	50.5531481481481
Ha412HOChr04	77000001	50.5535185185185
Ha412HOChr04	78000001	50.5538888888889
Ha412HOChr04	79000001	50.5542592592593
Ha412HOChr04	80000001	50.5546296296296
Ha412HOChr04	81000001	50.56
Ha412HOChr04	82000001	50.57
Ha412HOChr04	83000001	50.59
Ha412HOChr04	84000001	50.6
Ha412HOChr04	85000001	50.62
Ha412HOChr04	86000001	50.65
Ha412HOChr04	87000001	50.68
Ha412HOChr04	88000001	50.71
Ha412HOChr04	89000001	50.75
Ha412HOChr04	90000001	50.78
Ha412HOChr04	91000001	50.81
Ha412HOChr04	92000001	50.84
Ha412HOChr04	93000001	50.86
Ha412HOChr04	94000001	50.88
Ha412HOChr04	95000001	50.89
Ha412HOChr04	96000001	50.9
Ha412HOChr04	97000001	50.9051923076923
Ha412HOChr04	98000001	50.9053846153846
Ha412HOChr04	99000001	50.9055769230769
Ha412HOChr04	100000001	50.9057692307692
Ha412HOChr04	101000001	50.9059615384615
Ha412HOChr04	102000001	50.9061538461538
Ha412HOChr04	103000001	50.9063461538462
Ha412HOChr04	104000001	50.9065384615385
Ha412HOChr04	105000001	50.9067307692308
Ha412HOChr04	106000001	50.9069230769231
Ha412HOChr04	107000001	50.9071153846154
Ha412HOChr04	108000001	50.9073076923077
Ha412HOChr04	109000001	50.9075
Ha412HOChr04	110000001	50.9076923076923
Ha412HOChr04	111000001	50.9078846153846
Ha412HOChr04	112000001	50.9080769230769
Ha412HOChr04	113000001	50.9082692307692
Ha412HOChr04	114000001	50.9084615384615
Ha412HOChr04	115000001	50.9086538461538
Ha412HOChr04	116000001	50.9088461538461
Ha412HOChr04	117000001	50.9090384615385
Ha412HOChr04	118000001	50.9092307692308
Ha412HOChr04	119000001	50.9094230769231
Ha412HOChr04	120000001	50.9096153846154
Ha412HOChr04	121000001	50.9098076923077
Ha412HOChr04	122000001	50.91
Ha412HOChr04	123000001	50.9101923076923
Ha412HOChr04	124000001	50.9103846153846
Ha412HOChr04	125000001	50.9105769230769
Ha412HOChr04	126000001	50.9107692307692
Ha412HOChr04	127000001	50.9109615384615
Ha412HOChr04	128000001	50.9111538461538
Ha412HOChr04	129000001	50.9113461538461
Ha412HOChr04	130000001	50.9115384615385
Ha412HOChr04	131000001	50.9117307692308
Ha412HOChr04	132000001	50.9119230769231
Ha412HOChr04	133000001	50.9121153846154
Ha412HOChr04	134000001	50.9123076923077
Ha412HOChr04	135000001	50.9125
Ha412HOChr04	136000001	50.9126923076923
Ha412HOChr04	137000001	50.9128846153846
Ha412HOChr04	138000001	50.9130769230769
Ha412HOChr04	139000001	50.9132692307692
Ha412HOChr04	140000001	50.9134615384615
Ha412HOChr04	141000001	50.9136538461538
Ha412HOChr04	142000001	50.9138461538462
Ha412HOChr04	143000001	50.9140384615385
Ha412HOChr04	144000001	50.9142307692308
Ha412HOChr04	145000001	50.9144230769231
Ha412HOChr04	146000001	50.9146153846154
Ha412HOChr04	147000001	50.9148076923077
Ha412HOChr04	148000001	51.03
Ha412HOChr04	149000001	51.1275
Ha412HOChr04	150000001	51.13
Ha412HOChr04	151000001	51.1325
Ha412HOChr04	152000001	51.14625
Ha412HOChr04	153000001	51.1475
Ha412HOChr04	154000001	51.14875
Ha412HOChr04	155000001	51.15
Ha412HOChr04	156000001	51.15125
Ha412HOChr04	157000001	51.1525
Ha412HOChr04	158000001	51.15375
Ha412HOChr04	159000001	51.39
Ha412HOChr04	160000001	51.83
Ha412HOChr04	161000001	52.1
Ha412HOChr04	162000001	52.28
Ha412HOChr04	163000001	52.65
Ha412HOChr04	164000001	53
Ha412HOChr04	165000001	53.17
Ha412HOChr04	166000001	53.26
Ha412HOChr04	167000001	53.2783333333333
Ha412HOChr04	168000001	53.2816666666667
Ha412HOChr04	169000001	53.35
Ha412HOChr04	170000001	53.5
Ha412HOChr04	171000001	53.5066666666667
Ha412HOChr04	172000001	53.5083333333333
Ha412HOChr04	173000001	53.51
Ha412HOChr04	174000001	53.5116666666667
Ha412HOChr04	175000001	53.5133333333333
Ha412HOChr04	176000001	53.54
Ha412HOChr04	177000001	53.77
Ha412HOChr04	178000001	53.96
Ha412HOChr04	179000001	53.99
Ha412HOChr04	180000001	54
Ha412HOChr04	181000001	54.07
Ha412HOChr04	182000001	54.28
Ha412HOChr04	183000001	54.67
Ha412HOChr04	184000001	55.22
Ha412HOChr04	185000001	55.81
Ha412HOChr04	186000001	56.31
