chr,block1.end.pos,block2.start.pos,breakpoint.pos,Selected.420
1,844417,850465,847441,Yes
1,850465,874797,862631,No
1,875041,971198,923120,No
1,875159,971198,923178,No
1,875159,986719,930939,No
1,874806,987432,931119,Yes
1,922673,971198,946936,No
1,922673,993410,958042,No
1,971198,1064221,1017710,No
1,993410,1067878,1030644,No
1,1022802,1064221,1043512,No
1,1064221,1067618,1065920,No
1,1065037,1067618,1066328,No
1,1065037,1067878,1066458,No
1,1068044,1074092,1071068,No
1,1071783,1072172,1071978,No
1,1100093,1100495,1100294,Yes
1,1100495,1103616,1102056,No
1,1104250,1108301,1106276,No
1,1121361,1123532,1122446,No
1,1134230,1134414,1134322,No
1,1135459,1135862,1135660,No
1,1139600,1139612,1139606,No
1,1140796,1141454,1141125,No
1,1142127,1143443,1142785,Yes
1,1143494,1144061,1143778,No
1,1143053,1144622,1143838,No
1,1158591,1158659,1158625,No
1,1162222,1163183,1162702,No
1,1163523,1164142,1163832,Yes
1,1163183,1164914,1164048,No
1,1164142,1166204,1165173,No
1,1172184,1173413,1172798,No
1,1173418,1173716,1173567,No
1,1173716,1177912,1175814,No
1,1173716,1180290,1177003,No
1,1184380,1190703,1187542,No
1,1199647,1201556,1200602,No
1,1201757,1203627,1202692,No
1,1209662,1211865,1210764,No
1,1191118,1231147,1211132,No
1,1217843,1218274,1218058,No
1,1219320,1219574,1219447,No
1,1220150,1220469,1220310,No
1,1227493,1228801,1228147,No
1,1228908,1232579,1230744,No
1,1233096,1234740,1233918,No
1,1228801,1240045,1234423,No
1,1236971,1238041,1237506,No
1,1238377,1238774,1238576,No
1,1238986,1241922,1240454,No
1,1239354,1241922,1240638,No
1,1242550,1282224,1262387,Yes
1,1240323,1423007,1331665,No
1,1243133,1423007,1333070,No
1,1288787,1423007,1355897,No
1,1382716,1423970,1403343,No
1,1424372,1424464,1424418,No
1,1424372,1424464,1424418,No
1,1425648,1425813,1425730,No
1,1429398,1431611,1430504,No
1,1431611,1433784,1432698,No
1,1432741,1433637,1433189,No
1,1432196,1435039,1433618,No
1,1435771,1437868,1436820,No
1,1457976,1459918,1458947,No
1,1466808,1467443,1467126,No
1,1468650,1472223,1470436,No
1,1488822,1495110,1491966,Yes
1,1506001,1506922,1506462,Yes
1,1515063,1515694,1515378,No
1,1517820,1527461,1522640,No
1,1534298,1534321,1534310,No
1,1539269,1539719,1539494,No
1,1539269,1549147,1544208,No
1,1545758,1545817,1545788,No
1,1545525,1547573,1546549,No
1,1547918,1548132,1548025,Yes
1,1549045,1549147,1549096,Yes
1,1549045,1549147,1549096,No
1,1550477,1550495,1550486,Yes
1,1550655,1550920,1550788,Yes
1,1550655,1552210,1551432,No
1,1549147,1553753,1551450,No
1,1552210,1553245,1552728,No
1,1554025,1554140,1554082,No
1,1554140,1554652,1554396,No
1,1554854,1555291,1555072,No
1,1554812,1555698,1555255,No
1,1554854,1557671,1556262,No
1,1561740,1561832,1561786,No
1,1572915,1573156,1573036,No
1,1574655,1575318,1574986,No
1,1575536,1576310,1575923,No
1,1573327,1579670,1576498,No
1,1575785,1580237,1578011,No
1,1593649,1595475,1594562,Yes
1,1603471,1605844,1604658,No
1,1604698,1604831,1604764,No
1,1610844,1610957,1610900,No
1,1613409,1624709,1619059,No
1,1653093,1653737,1653415,Yes
1,1661550,1662147,1661848,No
1,1690910,1697083,1693996,No
1,1709115,1709824,1709470,Yes
1,1709824,1715676,1712750,Yes
1,1725732,1725983,1725858,No
1,1741497,1742280,1741888,No
1,1744246,1744272,1744259,No
1,1778225,1778417,1778321,Yes
1,1788691,1789045,1788868,No
1,1785557,1793153,1789355,No
1,1797339,1799381,1798360,Yes
1,1811231,1814623,1812927,Yes
1,1816413,1819235,1817824,No
1,1819978,1822094,1821036,Yes
1,1824170,1825034,1824602,No
1,1823370,1829146,1826258,No
1,1831818,1840022,1835920,No
1,1835198,1839746,1837472,No
1,1840318,1841889,1841104,No
1,1844290,1844438,1844364,No
1,1872556,1877418,1874987,No
1,1874286,1875813,1875050,No
1,1872162,1882609,1877386,No
1,1877586,1881941,1879764,No
1,1882005,1884105,1883055,No
1,1887393,1888559,1887976,No
1,1887696,1888401,1888048,No
1,1888493,1888559,1888526,No
1,1888559,1889687,1889123,No
1,1892682,1892695,1892688,No
1,1891744,1894298,1893021,No
1,1940056,1940982,1940519,No
1,1941805,1942285,1942045,No
1,1948337,1949188,1948762,Yes
1,1950598,1953448,1952023,No
1,1961062,1962084,1961573,No
1,1997016,1998107,1997562,No
1,2016809,2020111,2018460,No
1,2028689,2035211,2031950,No
1,2035211,2043365,2039288,No
1,2093870,2095893,2094882,No
1,2111479,2114342,2112910,No
1,2139615,2141179,2140397,No
1,2142684,2142764,2142724,No
1,2143472,2143889,2143680,No
1,2146945,2149675,2148310,No
1,2174124,2175444,2174784,No
1,2174124,2175444,2174784,No
1,2200123,2201991,2201057,No
1,2202776,2203217,2202996,No
1,2203217,2204419,2203818,No
1,2213628,2213877,2213752,No
1,2219656,2220240,2219948,No
1,2222985,2229270,2226128,No
1,2231989,2233557,2232773,No
1,2235312,2235436,2235374,No
1,2237321,2238162,2237742,No
1,2236793,2239425,2238109,No
1,2239429,2242353,2240891,Yes
1,2251769,2252275,2252022,No
1,2271749,2274230,2272990,No
1,2276086,2277013,2276550,Yes
1,2277469,2284698,2281084,Yes
1,2284235,2289031,2286633,Yes
1,2289031,2303244,2296138,Yes
1,2304304,2312698,2308501,No
1,2313010,2313323,2313166,No
1,2311440,2316413,2313926,No
1,2326373,2327671,2327022,No
1,2365790,2367720,2366755,Yes
1,2378381,2380853,2379617,No
1,2378854,2380953,2379904,No
1,2389443,2389499,2389471,No
1,2393016,2394790,2393903,No
1,2403506,2404671,2404088,No
1,2403720,2404671,2404196,No
1,2415784,2419176,2417480,No
1,2415952,2419176,2417564,No
1,2439590,2441778,2440684,Yes
1,2441778,2443845,2442812,No
1,2436519,2449140,2442830,No
1,2441778,2452185,2446982,No
1,2474671,2477381,2476026,No
1,2491621,2491908,2491764,Yes
1,2495248,2513630,2504439,No
1,2509048,2514251,2511650,No
1,2516522,2517099,2516810,No
1,2518184,2520128,2519156,No
1,2519452,2519470,2519461,No
1,2520249,2520618,2520434,Yes
1,2521379,2524032,2522706,No
1,2529477,2531374,2530426,No
1,2551150,2557081,2554116,No
1,2564199,2564447,2564323,No
1,2569574,2569788,2569681,No
1,2578169,2584616,2581392,No
1,2610606,2614938,2612772,No
1,2619464,2622605,2621034,No
1,2619464,2624102,2621783,No
1,2625206,2627283,2626244,No
1,2630076,2631084,2630580,No
1,2630806,2631084,2630945,No
1,2631084,2638050,2634567,Yes
1,2642170,2653132,2647651,No
1,2659276,2660232,2659754,No
1,2661111,2661372,2661242,No
1,2661864,2662258,2662061,No
1,2664489,2664691,2664590,Yes
1,2664818,2665466,2665142,No
1,2665295,2672729,2669012,No
1,2676533,2677853,2677193,Yes
1,2694957,2695893,2695425,No
1,2702300,2704286,2703293,No
1,2704436,2704497,2704466,No
1,2726925,2748910,2737918,Yes
1,2750889,2751373,2751131,No
1,2752548,2752562,2752555,No
1,2752721,2753088,2752904,No
1,2753088,2754177,2753632,No
1,2754867,2755307,2755087,No
1,2755307,2755639,2755473,Yes
1,2755688,2759388,2757538,No
1,2755307,2760302,2757804,No
1,2783929,2786642,2785286,No
1,2808268,2809719,2808994,Yes
1,2817314,2817541,2817428,No
1,2818511,2818949,2818730,No
1,2820728,2820735,2820732,Yes
1,2820798,2825828,2823313,No
1,2827042,2827624,2827333,Yes
1,2842887,2843126,2843006,Yes
1,2843972,2844995,2844484,Yes
1,2848821,2849453,2849137,No
1,2848821,2850324,2849572,No
1,2849453,2851196,2850324,No
1,2850324,2850395,2850360,No
1,2851196,2858528,2854862,Yes
1,2872224,2874393,2873308,Yes
1,2884591,2890823,2887707,No
1,2902490,2906789,2904640,No
1,2910424,2928356,2919390,No
1,2954529,2956187,2955358,Yes
1,2977635,2977831,2977733,No
1,2978310,2982267,2980288,No
1,2986826,2986839,2986832,No
1,2988629,2988686,2988658,No
1,3025355,3026189,3025772,No
1,3029800,3031852,3030826,No
1,3088639,3091125,3089882,No
1,3130648,3133081,3131864,Yes
1,3180741,3182859,3181800,Yes
1,3188094,3188242,3188168,Yes
1,3225109,3225130,3225120,No
1,3227162,3256860,3242011,Yes
1,3248333,3248972,3248652,No
1,3250360,3250408,3250384,No
1,3254064,3254495,3254280,No
1,3265996,3266587,3266292,No
1,3313105,3313678,3313392,No
1,3321865,3395748,3358806,No
1,3361324,3376916,3369120,No
1,3414110,3440720,3427415,No
1,3414110,3441906,3428008,No
1,3414110,3451083,3432596,No
1,3442120,3442204,3442162,No
1,3443518,3443575,3443546,No
1,3443087,3445411,3444249,No
1,3443518,3445192,3444355,No
1,3446761,3448507,3447634,No
1,3445239,3451255,3448247,No
1,3454021,3455703,3454862,No
1,3457222,3459439,3458330,No
1,3496638,3499224,3497931,Yes
1,3496638,3499224,3497931,No
1,3504562,3507407,3505984,No
1,3540404,3544650,3542527,No
1,3552659,3553135,3552897,No
1,3552563,3554690,3553626,Yes
1,3551576,3557358,3554467,No
1,3553135,3557962,3555548,No
1,3554155,3557358,3555756,No
1,3558258,3560899,3559578,No
1,3560980,3564166,3562573,No
1,3565198,3565604,3565401,Yes
1,3566053,3567532,3566792,No
1,3571773,3572580,3572176,No
1,3577920,3580185,3579052,No
1,3585703,3594847,3590275,No
1,3587880,3595270,3591575,No
1,3641423,3641927,3641675,No
1,3662671,3665426,3664048,No
1,3665426,3670220,3667823,No
1,3699466,3705260,3702363,Yes
1,3709739,3711161,3710450,No
1,3714642,3714709,3714676,No
1,3716128,3717094,3716611,No
1,3732083,3732289,3732186,No
1,3741003,3742348,3741676,Yes
1,3745446,3746177,3745812,No
1,3746385,3749037,3747711,Yes
1,3747589,3753730,3750660,Yes
1,3751111,3753730,3752420,No
1,3755563,3756977,3756270,No
1,3757600,3759142,3758371,No
1,3758502,3761112,3759807,No
1,3780343,3780390,3780366,No
1,3799911,3800820,3800366,No
1,3804109,3804390,3804250,Yes
1,3831120,3832457,3831788,No
1,3833068,3839037,3836052,No
1,3868878,3870242,3869560,Yes
1,3870807,3874889,3872848,No
1,3877581,3877652,3877616,No
1,3881350,3881520,3881435,No
1,3882964,3886799,3884882,No
1,3882964,3887036,3885000,Yes
1,3883752,3886494,3885123,No
1,3886306,3886494,3886400,No
1,3887340,3887461,3887400,No
1,3889462,3889798,3889630,No
1,3890315,3891639,3890977,No
1,3920284,3925690,3922987,No
1,3922660,3924451,3923556,No
1,3926432,3926892,3926662,No
1,3926949,3927056,3927002,No
1,3927056,3929277,3928166,No
1,3933802,3933893,3933848,No
1,3933893,4028320,3981106,No
1,3938146,4029763,3983954,Yes
1,4027386,4028320,4027853,No
1,4027386,4029763,4028574,No
1,4029763,4030482,4030122,No
1,4030482,4032248,4031365,No
1,4039186,4039526,4039356,No
1,4039526,4041654,4040590,No
1,4041654,4044777,4043216,No
1,4045808,4045873,4045840,No
1,4049678,4049773,4049726,No
1,4055643,4055719,4055681,No
1,4055643,4056734,4056188,No
1,4058922,4058931,4058926,No
1,4061701,4065846,4063774,No
1,4064374,4065249,4064812,No
1,4064374,4066936,4065655,No
1,4065249,4066936,4066092,Yes
1,4065846,4066936,4066391,No
1,4082744,4083110,4082927,Yes
1,4103558,4106972,4105265,No
1,4101753,4109833,4105793,No
1,4113507,4113622,4113564,No
1,4120891,4126364,4123628,No
1,4120891,4127343,4124117,No
1,4126271,4127622,4126946,No
1,4150574,4151132,4150853,No
1,4156821,4156872,4156846,No
1,4161602,4162884,4162243,No
1,4166784,4168020,4167402,No
1,4168549,4169521,4169035,No
1,4188548,4193806,4191177,No
1,4193233,4193399,4193316,No
1,4193422,4193460,4193441,No
1,4200426,4201794,4201110,No
1,4192788,4219051,4205920,Yes
1,4217365,4217855,4217610,No
1,4216764,4218808,4217786,No
1,4217855,4218808,4218332,Yes
1,4220780,4222325,4221552,No
1,4212166,4232884,4222525,No
1,4224369,4224375,4224372,No
1,4224588,4224744,4224666,No
1,4224588,4224744,4224666,No
1,4224588,4229686,4227137,Yes
1,4228664,4229329,4228996,No
1,4233508,4235774,4234641,No
1,4233888,4235774,4234831,No
1,4246803,4249323,4248063,No
1,4249346,4251072,4250209,Yes
1,4251166,4252494,4251830,No
1,4262995,4263173,4263084,No
1,4265571,4265867,4265719,No
1,4271383,4272454,4271918,No
1,4272454,4273537,4272996,No
1,4273662,4275144,4274403,No
1,4275867,4275989,4275928,No
1,4276107,4278271,4277189,No
1,4277294,4277805,4277550,Yes
1,4277492,4277687,4277590,No
1,4277492,4277687,4277590,No
1,4282600,4290013,4286306,No
1,4286001,4290559,4288280,No
1,4286216,4290436,4288326,No
1,4290013,4290873,4290443,No
1,4291206,4292611,4291908,No
1,4291206,4293233,4292220,No
1,4292046,4292971,4292508,No
1,4337681,4339842,4338762,No
1,4341581,4342389,4341985,Yes
1,4366381,4368321,4367351,No
1,4371291,4371658,4371474,Yes
1,4372649,4375932,4374290,No
1,4374375,4375595,4374985,No
1,4378926,4379353,4379140,No
1,4382479,4382950,4382714,No
1,4387324,4388565,4387944,No
1,4402197,4404164,4403180,No
1,4420046,4421404,4420725,No
1,4427274,4427458,4427366,No
1,4426891,4429645,4428268,No
1,4455715,4465734,4460724,No
1,4461510,4461750,4461630,No
1,4470862,4471223,4471042,No
1,4472083,4472098,4472090,No
1,4490911,4491124,4491018,No
1,4496160,4505607,4500884,No
1,4503968,4508136,4506052,No
1,4512907,4513209,4513058,No
1,4511176,4515931,4513554,No
1,4519283,4519876,4519580,No
1,4524579,4529000,4526790,No
1,4529181,4530451,4529816,Yes
1,4538187,4538573,4538380,No
1,4541927,4542102,4542014,No
1,4541927,4542344,4542136,No
1,4542930,4543015,4542972,No
1,4542122,4545220,4543671,No
1,4546899,4547264,4547082,No
1,4546221,4550280,4548250,No
1,4552519,4553484,4553002,No
1,4551898,4556238,4554068,No
1,4581069,4581902,4581486,No
1,4585045,4585064,4585054,No
1,4595803,4597135,4596469,No
1,4598559,4601203,4599881,No
1,4607714,4608860,4608287,No
1,4648432,4650334,4649383,Yes
1,4649385,4650334,4649860,No
1,4650523,4652413,4651468,No
1,4650732,4652413,4651572,No
1,4652413,4654541,4653477,No
1,4658479,4684679,4671579,No
1,4694570,4740751,4717660,Yes
1,4694570,4741972,4718271,No
1,4747265,4747651,4747458,No
1,4754238,4756914,4755576,No
1,4768824,4770921,4769872,No
1,4770424,4770552,4770488,No
1,4770685,4770759,4770722,No
1,4770994,4771314,4771154,No
1,4774757,4776218,4775488,No
1,4780252,4780293,4780272,No
1,4780691,4780717,4780704,Yes
1,4786988,4787486,4787237,Yes
1,4787486,4788491,4787988,No
1,4790713,4793650,4792182,No
1,4809241,4810568,4809904,No
1,4816727,4816814,4816770,No
1,4831953,4835546,4833750,No
1,4842391,4848779,4845585,No
1,4859205,4864935,4862070,No
1,4871877,4872272,4872074,No
1,4873250,4873347,4873298,No
1,4872272,4876547,4874410,No
1,4873347,4876094,4874720,No
1,4873347,4877062,4875204,No
1,4878115,4878682,4878398,No
1,4883840,4884934,4884387,No
1,4889209,4892929,4891069,No
1,4892791,4892929,4892860,No
1,4896744,4900870,4898807,No
1,4899961,4900870,4900416,Yes
1,4901255,4909526,4905390,No
1,4902802,4909773,4906288,No
1,4906997,4908188,4907592,No
1,4925172,4925773,4925472,No
1,4928180,4929328,4928754,No
1,4938066,4941269,4939668,No
1,4942354,4942466,4942410,Yes
1,4942354,4942466,4942410,No
1,4943754,4946045,4944900,No
1,4949251,4953738,4951494,No
1,4995053,4996272,4995662,No
1,4997758,4998159,4997958,No
1,5061896,5070376,5066136,No
1,5035603,5116659,5076131,No
1,5102077,5116659,5109368,No
1,5127398,5130149,5128774,No
1,5130946,5131093,5131020,No
1,5130373,5131666,5131020,No
1,5133626,5133693,5133660,No
1,5134802,5136311,5135556,No
1,5136863,5136927,5136895,No
1,5137116,5137290,5137203,No
1,5168273,5170703,5169488,Yes
1,5190099,5190554,5190326,No
1,5193323,5194740,5194032,No
1,5196666,5197555,5197110,No
1,5204615,5204684,5204650,No
1,5219293,5222391,5220842,No
1,5287931,5289014,5288472,Yes
1,5325747,5327650,5326698,No
1,5338587,5344153,5341370,No
1,5344153,5349766,5346960,No
1,5360032,5361770,5360901,No
1,5370084,5370925,5370504,No
1,5379460,5379713,5379586,No
1,5383991,5386329,5385160,Yes
1,5385117,5389222,5387170,No
1,5389951,5390488,5390220,No
1,5389951,5397074,5393512,No
1,5389274,5398374,5393824,No
1,5394665,5397198,5395932,No
1,5397090,5397198,5397144,No
1,5397915,5398007,5397961,Yes
1,5399032,5404213,5401622,No
1,5421514,5422254,5421884,No
1,5422500,5422507,5422504,No
1,5423195,5423997,5423596,No
1,5424105,5424153,5424129,Yes
1,5425507,5426822,5426164,No
1,5441222,5445614,5443418,No
1,5472311,5473133,5472722,No
1,5506421,5506545,5506483,Yes
1,5508253,5508718,5508486,Yes
1,5522235,5523865,5523050,No
1,5564696,5566444,5565570,No
1,5575170,5579011,5577090,No
1,5610283,5611106,5610694,No
1,5626281,5626425,5626353,No
1,5626425,5647088,5636756,No
1,5640774,5641450,5641112,Yes
1,5639760,5642685,5641222,No
1,5642267,5642404,5642336,Yes
1,5646799,5651817,5649308,Yes
1,5696503,5716534,5706518,No
1,5717342,5724627,5720984,No
1,5742739,5743853,5743296,Yes
1,5786383,5789314,5787848,No
1,5784942,5790915,5787928,No
1,5789314,5790007,5789660,No
1,5812320,5812325,5812322,No
1,5818410,5820915,5819662,No
1,5818410,5820915,5819662,No
1,5828152,5833087,5830620,No
1,5834307,5840961,5837634,No
1,5841966,5842134,5842050,No
1,5840961,5843565,5842263,No
1,5875821,5876177,5875999,Yes
1,5914702,5918198,5916450,No
1,5929970,5962056,5946013,No
1,5956670,5963590,5960130,No
1,5983366,5984817,5984092,No
1,5997888,6001460,5999674,No
1,6017009,6017801,6017405,No
1,6053479,6056864,6055172,No
1,6097465,6099146,6098306,No
1,6098681,6099827,6099254,No
1,6102937,6110680,6106808,No
1,6120426,6121816,6121121,Yes
1,6138646,6138892,6138769,No
1,6166966,6169454,6168210,No
1,6172021,6178532,6175276,No
1,6176913,6178153,6177533,No
1,6182715,6183603,6183159,No
1,6182715,6224081,6203398,No
1,6228911,6233946,6231428,Yes
1,6239731,6243089,6241410,Yes
1,6242203,6243642,6242922,No
1,6246413,6251079,6248746,No
1,6249320,6255739,6252530,No
1,6260567,6260827,6260697,Yes
1,6260567,6260827,6260697,No
1,6267534,6272937,6270236,No
1,6269656,6272720,6271188,No
1,6270318,6272720,6271519,Yes
1,6294028,6295079,6294554,No
1,6298381,6302635,6300508,No
1,6302635,6303033,6302834,No
1,6315038,6318268,6316653,Yes
1,6314555,6319039,6316797,No
1,6318268,6319504,6318886,No
1,6330281,6335637,6332959,Yes
1,6332643,6335637,6334140,No
1,6378061,6384657,6381359,No
1,6392852,6392972,6392912,No
1,6395981,6403472,6399726,Yes
1,6465490,6468628,6467059,Yes
1,6469736,6469787,6469762,Yes
1,6471021,6474055,6472538,Yes
1,6469916,6475464,6472690,No
1,6487522,6488618,6488070,Yes
1,6491119,6491713,6491416,Yes
1,6492774,6492874,6492824,Yes
1,6503011,6504067,6503539,No
1,6504724,6507346,6506035,No
1,6507587,6509612,6508600,Yes
1,6525536,6527703,6526620,No
1,6527488,6527703,6527596,No
1,6527066,6528379,6527722,No
1,6570955,6572749,6571852,No
1,6571591,6574017,6572804,No
1,6577984,6578226,6578105,No
1,6578712,6579101,6578906,No
1,6579125,6580964,6580044,No
1,6581694,6581772,6581733,No
1,6583813,6584216,6584014,No
1,6594560,6595240,6594900,No
1,6615150,6617703,6616426,No
1,6620457,6621317,6620887,No
1,6619970,6622215,6621092,No
1,6621021,6621287,6621154,No
1,6615496,6627522,6621509,No
1,6621021,6622215,6621618,No
1,6622215,6625801,6624008,No
1,6624079,6626143,6625111,No
1,6632320,6635063,6633692,No
1,6635063,6636247,6635655,Yes
1,6636247,6642102,6639174,No
1,6641514,6642102,6641808,No
1,6642322,6642400,6642361,No
1,6643280,6643312,6643296,Yes
1,6643312,6643397,6643354,No
1,6643312,6645395,6644354,No
1,6646374,6646523,6646448,No
1,6649122,6656790,6652956,No
1,6653204,6653770,6653487,No
1,6658639,6664518,6661578,No
1,6673244,6674604,6673924,No
1,6675240,6675933,6675586,No
1,6677919,6679053,6678486,No
1,6679053,6681322,6680188,No
1,6679833,6680660,6680246,Yes
1,6686957,6687433,6687195,Yes
1,6688150,6689713,6688932,No
1,6692053,6693171,6692612,No
1,6722759,6731189,6726974,Yes
1,6734086,6735021,6734554,No
1,6738838,6738976,6738907,Yes
1,6757488,6757688,6757588,No
1,6766019,6766446,6766232,No
1,6774303,6775277,6774790,No
1,6775909,6778253,6777081,No
1,6787049,6787092,6787070,Yes
1,6792212,6792945,6792578,No
1,6811471,6813411,6812441,No
1,6827397,6828192,6827794,No
1,6837533,6837695,6837614,No
1,6841218,6845966,6843592,No
1,6854159,6854581,6854370,Yes
1,6854159,6854581,6854370,No
1,6854581,6855098,6854840,Yes
1,6855098,6855215,6855156,No
1,6860169,6860400,6860284,No
1,6862780,6866720,6864750,No
1,6867502,6868206,6867854,No
1,6868617,6872250,6870434,No
1,6871182,6871474,6871328,No
1,6870447,6872476,6871462,Yes
1,6871474,6872250,6871862,No
1,6871759,6871996,6871878,No
1,6875102,6875633,6875368,No
1,6879810,6882197,6881004,No
1,6882648,6882726,6882687,No
1,6885664,6888525,6887094,No
1,6904858,6906116,6905487,Yes
1,6904935,6906116,6905526,No
1,6910660,6913079,6911870,No
1,6919637,6921738,6920688,No
1,6921738,6928974,6925356,No
1,6938916,6939247,6939082,No
1,6928195,6952126,6940160,No
1,6939393,6940999,6940196,Yes
1,6945452,6948832,6947142,No
1,6960579,6962410,6961494,No
1,6960579,6964018,6962298,No
1,6960579,6966310,6963444,No
1,6964018,6964207,6964112,No
1,6985496,6987001,6986248,No
1,6987001,6987043,6987022,No
1,7004682,7004739,7004710,Yes
1,7012548,7012908,7012728,Yes
1,7019271,7020492,7019882,Yes
1,7023025,7028215,7025620,No
1,7020492,7031525,7026008,No
1,7028435,7028456,7028446,Yes
1,7028958,7029010,7028984,No
1,7029099,7029185,7029142,No
1,7040667,7041074,7040870,No
1,7041339,7045933,7043636,No
1,7045933,7046633,7046283,No
1,7049315,7049903,7049609,No
1,7057016,7060699,7058858,No
1,7078484,7080921,7079702,No
1,7080921,7084243,7082582,No
1,7084893,7088943,7086918,No
1,7090193,7090396,7090294,No
1,7089894,7091829,7090862,No
1,7084389,7103872,7094130,No
1,7095317,7096529,7095923,No
1,7101999,7102491,7102245,No
1,7110654,7112430,7111542,Yes
1,7110654,7113942,7112298,No
1,7112430,7112534,7112482,No
1,7138444,7139369,7138906,No
1,7142583,7145362,7143972,No
1,7145362,7146782,7146072,Yes
1,7152769,7152853,7152811,No
1,7195448,7196105,7195776,No
1,7221183,7231333,7226258,Yes
1,7228466,7228752,7228609,No
1,7229676,7234205,7231940,No
1,7235283,7237396,7236340,Yes
1,7240644,7243177,7241910,No
1,7241409,7247423,7244416,No
1,7249231,7251711,7250471,No
1,7259222,7259398,7259310,No
1,7308149,7311159,7309654,No
1,7316944,7317557,7317250,No
1,7345556,7347478,7346517,No
1,7368293,7370870,7369582,No
1,7368226,7374339,7371282,No
1,7382314,7382441,7382378,No
1,7381896,7383357,7382626,Yes
1,7385489,7386930,7386210,No
1,7387535,7387719,7387627,Yes
1,7401766,7401871,7401818,No
1,7405712,7406056,7405884,Yes
1,7431129,7431143,7431136,No
1,7431427,7431890,7431658,No
1,7438778,7438892,7438835,No
1,7443207,7443983,7443595,No
1,7439508,7457078,7448293,No
1,7455356,7455378,7455367,No
1,7456289,7456543,7456416,No
1,7471097,7471311,7471204,No
1,7472424,7473127,7472776,No
1,7473127,7481951,7477539,No
1,7475581,7479777,7477679,No
1,7477384,7478460,7477922,Yes
1,7478460,7480006,7479233,No
1,7480006,7481472,7480739,No
1,7479461,7482985,7481223,No
1,7500412,7502340,7501376,No
1,7500721,7503589,7502155,Yes
1,7505194,7505312,7505253,No
1,7505357,7505435,7505396,No
1,7509000,7510095,7509548,No
1,7533683,7538936,7536310,No
1,7545676,7550110,7547893,No
1,7550656,7551686,7551171,No
1,7603949,7605261,7604605,No
1,7635089,7635253,7635171,No
1,7638527,7640441,7639484,Yes
1,7639278,7640441,7639860,No
1,7650142,7650153,7650148,No
1,7654418,7659914,7657166,Yes
1,7660913,7664302,7662608,No
1,7664552,7664868,7664710,No
1,7667459,7670142,7668800,No
